cr_year,esac_publisher,article_total,tdm_total,orcid_total,funder_total,abstract_total,ref_total,cat
2017,AIP Publishing,58,0,40,57,0,58,Global
2017,AIP Publishing,3,0,3,2,0,3,Germany
2018,AIP Publishing,11,0,9,11,0,11,Global
2018,AIP Publishing,1,0,0,1,0,1,Germany
2019,AIP Publishing,3,0,2,3,0,3,Global
2019,AIP Publishing,1,0,0,1,0,1,Germany
2020,AIP Publishing,1,0,1,1,0,1,Global
2017,American Chemical Society,40,39,17,31,0,40,Global
2017,American Chemical Society,3,2,2,2,0,3,Germany
2018,American Chemical Society,53,45,19,47,0,53,Global
2018,American Chemical Society,5,4,1,5,0,5,Germany
2019,American Chemical Society,71,40,45,61,0,70,Global
2019,American Chemical Society,7,3,6,6,0,7,Germany
2020,American Chemical Society,655,20,654,529,0,654,Global
2020,American Chemical Society,28,4,28,25,0,28,Germany
2021,American Chemical Society,6309,24,6291,5681,0,6289,Global
2021,American Chemical Society,572,8,572,520,0,572,Germany
2022,American Chemical Society,5584,18,5562,5096,0,5540,Global
2022,American Chemical Society,416,5,416,372,0,416,Germany
2017,American Physical Society,438,0,0,395,0,423,Global
2017,American Physical Society,42,0,0,40,0,42,Germany
2018,American Physical Society,2744,0,0,2465,0,2727,Global
2018,American Physical Society,208,0,0,193,0,208,Germany
2019,American Physical Society,2886,0,962,2617,0,2880,Global
2019,American Physical Society,206,0,74,186,0,206,Germany
2020,American Physical Society,3425,0,3035,3144,0,3416,Global
2020,American Physical Society,459,0,414,400,0,459,Germany
2021,American Physical Society,3472,0,3204,3238,0,3458,Global
2021,American Physical Society,442,0,423,404,0,442,Germany
2022,American Physical Society,2631,0,2458,2448,0,2622,Global
2022,American Physical Society,233,0,223,213,0,233,Germany
2017,Association for Computing Machinery,36,25,9,25,6,36,Global
2018,Association for Computing Machinery,19,10,15,16,6,19,Global
2019,Association for Computing Machinery,44,24,36,34,16,44,Global
2019,Association for Computing Machinery,3,1,2,2,0,3,Germany
2020,Association for Computing Machinery,90,37,70,65,41,88,Global
2020,Association for Computing Machinery,14,9,10,9,9,14,Germany
2021,Association for Computing Machinery,144,61,123,123,60,136,Global
2021,Association for Computing Machinery,18,11,17,14,11,18,Germany
2022,Association for Computing Machinery,104,19,91,81,20,69,Global
2022,Association for Computing Machinery,3,3,3,3,3,3,Germany
2017,Bentham Science Publishers,14,7,0,0,2,0,Global
2017,Bentham Science Publishers,1,0,0,0,0,0,Germany
2018,Bentham Science Publishers,193,127,0,6,44,32,Global
2018,Bentham Science Publishers,2,1,0,0,1,1,Germany
2019,Bentham Science Publishers,1230,101,97,175,623,744,Global
2019,Bentham Science Publishers,15,0,0,1,5,7,Germany
2020,Bentham Science Publishers,1345,508,280,151,812,767,Global
2020,Bentham Science Publishers,17,8,4,2,15,10,Germany
2021,Bentham Science Publishers,1042,1042,322,154,648,490,Global
2021,Bentham Science Publishers,16,16,7,4,12,7,Germany
2022,Bentham Science Publishers,74,74,34,29,74,60,Global
2022,Bentham Science Publishers,2,2,0,1,2,1,Germany
2017,Bioscientifica,66,66,0,0,64,65,Global
2017,Bioscientifica,6,6,0,0,6,6,Germany
2018,Bioscientifica,64,64,0,0,63,60,Global
2018,Bioscientifica,6,6,0,0,6,6,Germany
2019,Bioscientifica,58,58,0,0,57,34,Global
2019,Bioscientifica,1,1,0,0,1,0,Germany
2020,Bioscientifica,9,9,0,0,9,0,Global
2020,Bioscientifica,2,2,0,0,2,0,Germany
2021,Bioscientifica,73,73,22,0,69,0,Global
2021,Bioscientifica,5,5,4,0,5,0,Germany
2022,Bioscientifica,105,105,84,0,103,33,Global
2022,Bioscientifica,10,10,8,0,10,3,Germany
2017,BMJ Publishing,4,2,2,1,2,4,Global
2018,BMJ Publishing,17,3,7,7,11,17,Global
2019,BMJ Publishing,363,30,327,234,297,355,Global
2019,BMJ Publishing,17,1,16,12,8,17,Germany
2020,BMJ Publishing,1812,294,1599,917,1480,1774,Global
2020,BMJ Publishing,49,8,45,32,40,47,Germany
2021,BMJ Publishing,2036,321,1800,1061,1620,2025,Global
2021,BMJ Publishing,88,9,80,45,72,88,Germany
2022,BMJ Publishing,1300,285,1181,735,1001,1298,Global
2022,BMJ Publishing,77,13,70,47,56,77,Germany
2017,Brill,84,84,0,1,69,33,Global
2017,Brill,1,1,0,0,1,1,Germany
2018,Brill,107,107,2,2,82,37,Global
2018,Brill,8,8,0,0,7,3,Germany
2019,Brill,219,219,2,1,155,17,Global
2019,Brill,14,14,1,1,13,5,Germany
2020,Brill,680,680,16,7,584,54,Global
2020,Brill,27,27,2,1,27,2,Germany
2021,Brill,799,799,267,40,700,96,Global
2021,Brill,47,47,13,6,46,11,Germany
2022,Brill,609,609,294,54,516,245,Global
2022,Brill,27,27,19,2,25,16,Germany
2017,Bristol University Press,18,18,1,0,17,1,Global
2018,Bristol University Press,24,24,0,0,24,0,Global
2018,Bristol University Press,2,2,0,0,2,0,Germany
2019,Bristol University Press,34,34,0,12,33,9,Global
2019,Bristol University Press,1,1,0,0,1,1,Germany
2020,Bristol University Press,35,35,0,2,33,18,Global
2021,Bristol University Press,41,41,0,3,41,27,Global
2021,Bristol University Press,5,5,0,1,5,4,Germany
2022,Bristol University Press,89,89,3,27,84,68,Global
2022,Bristol University Press,5,5,0,1,5,5,Germany
