issn_l,cr_year,article_total,upw_hybrid_total,cr_hybrid_total,cat
0020-1383,2019,428,18,18,Global
0034-4338,2020,428,0,0,Global
1077-4114,2019,428,6,0,Global
0272-7714,2021,428,54,57,Global
2387-0206,2017,428,0,0,Global
1071-3581,2019,428,25,24,Global
0021-9355,2018,428,8,0,Global
0385-2407,2019,428,21,21,Global
0309-2402,2020,428,58,55,Global
1198-743X,2020,428,45,44,Global
1078-5884,2018,428,8,8,Global
0013-7952,2020,428,11,11,Global
2059-8521,2020,427,10,11,Global
2190-5738,2017,427,118,118,Global
0021-9517,2018,427,10,10,Global
0194-5998,2018,427,0,0,Global
2163-0755,2021,427,16,0,Global
1537-5927,2021,427,30,33,Global
0277-3791,2021,427,96,96,Global
1557-7740,2021,426,12,0,Global
0013-8266,2019,426,7,3,Global
0950-1991,2018,426,296,75,Global
0969-6989,2021,426,34,34,Global
0022-2488,2020,426,13,0,Global
0966-0410,2021,426,106,104,Global
0022-3549,2017,426,14,14,Global
0964-1726,2021,426,15,36,Global
2367-198X,2020,426,48,47,Global
0954-691X,2020,426,19,0,Global
1064-8011,2017,426,0,0,Global
0022-4073,2018,426,23,23,Global
0976-5662,2021,425,8,5,Global
0012-365X,2020,425,7,7,Global
0011-9164,2021,425,34,34,Global
0973-7707,2020,425,12,10,Global
0036-0244,2020,425,1,0,Global
0166-218X,2020,425,10,10,Global
0006-2952,2021,425,53,55,Global
1538-7836,2021,425,115,119,Global
1087-0156,2020,424,19,16,Global
1437-062X,2017,424,0,0,Global
0828-282X,2021,424,23,21,Global
0009-7330,2019,424,29,0,Global
0378-3820,2017,424,9,9,Global
0143-974X,2019,424,2,2,Global
0770-3198,2017,424,36,40,Global
0965-2140,2020,424,87,87,Global
1099-047X,2019,424,2,2,Global
0029-7844,2021,424,35,0,Global
0022-3697,2020,424,2,2,Global
0306-8919,2019,424,12,12,Global
2214-6296,2020,423,107,108,Global
0009-9260,2019,423,8,8,Global
1097-2765,2019,423,65,65,Global
1078-8956,2019,423,7,7,Global
0167-6806,2019,423,84,84,Global
1359-4184,2021,423,204,202,Global
0022-4596,2018,423,0,0,Global
1531-7129,2021,423,16,0,Global
0020-7543,2021,423,40,42,Global
0929-8673,2021,423,0,44,Global
2366-0058,2018,423,14,14,Global
0968-090X,2021,423,81,83,Global
0981-9428,2018,423,7,7,Global
1614-371X,2021,423,0,0,Global
1040-8398,2020,422,22,23,Global
0950-222X,2019,422,30,23,Global
1742-464X,2019,422,67,62,Global
0022-4596,2017,422,5,5,Global
1741-3842,2021,422,44,43,Global
1070-3632,2019,422,0,0,Global
0264-2751,2020,422,44,44,Global
0140-7007,2021,422,10,10,Global
0031-9406,2020,422,8,8,Global
1073-7928,2021,422,36,37,Global
1610-8167,2021,422,65,66,Global
0195-6663,2017,422,27,27,Global
0266-3538,2019,422,11,11,Global
0029-5493,2019,422,12,11,Global
1091-255X,2019,422,13,13,Global
1004-9541,2021,422,5,5,Global
1328-8067,2021,422,22,24,Global
1444-0903,2021,421,17,17,Global
1367-9120,2019,421,5,5,Global
0924-0136,2017,421,14,9,Global
2366-0058,2017,421,8,9,Global
0304-8608,2021,421,33,31,Global
1701-2163,2020,421,8,8,Global
0021-9355,2020,421,14,0,Global
1053-1807,2019,421,49,45,Global
0379-0738,2017,421,9,9,Global
1355-6037,2017,421,51,0,Global
2365-709X,2020,421,58,57,Global
0306-4530,2021,421,57,57,Global
1769-7255,2017,421,0,0,Global
1439-4235,2019,420,37,36,Global
1882-0778,2020,420,33,35,Global
2589-1529,2020,420,30,28,Global
0964-1726,2018,420,12,12,Global
0170-4214,2017,420,0,0,Global
0009-2541,2019,420,31,31,Global
0950-7051,2019,420,5,5,Global
0022-5193,2018,420,36,32,Global
0893-7648,2021,420,82,85,Global
0891-3668,2021,419,25,0,Global
1550-7289,2017,419,4,4,Global
0254-6299,2019,419,417,419,Global
0028-3908,2020,419,31,32,Global
1359-835X,2021,419,34,34,Global
1355-6037,2021,419,67,72,Global
1043-6618,2019,419,15,13,Global
0306-0012,2017,419,53,13,Global
2168-2267,2017,419,20,2,Global
0165-1684,2020,419,6,6,Global
0003-682X,2019,419,13,13,Global
1420-682X,2019,419,104,105,Global
0013-7952,2021,418,41,44,Global
0341-2695,2020,418,44,44,Global
0828-282X,2018,418,9,9,Global
0031-3203,2017,418,6,6,Global
1861-471X,2017,418,3,3,Global
0018-9294,2021,418,12,51,Global
1878-8181,2020,418,1,1,Global
0898-1221,2017,418,6,6,Global
0094-3061,2017,418,0,0,Global
1773-035X,2017,418,0,0,Global
0891-5849,2020,418,72,66,Global
1526-498X,2019,418,26,22,Global
0937-4477,2017,418,26,32,Global
0306-4603,2018,418,8,7,Global
0092-7872,2020,418,11,11,Global
0362-2436,2021,418,23,0,Global
1570-0232,2019,417,18,18,Global
2211-9264,2021,417,48,50,Global
0168-583X,2018,417,5,5,Global
2452-0144,2020,417,1,1,Global
1526-2375,2021,417,41,36,Global
0009-9236,2019,417,105,106,Global
0011-9164,2018,417,10,10,Global
0939-4753,2021,417,38,38,Global
0378-4754,2021,417,6,6,Global
0022-0248,2018,417,7,7,Global
0254-6299,2020,417,110,261,Global
0942-2056,2017,417,54,64,Global
0091-7435,2021,417,75,74,Global
0002-9165,2019,416,99,69,Global
1537-6494,2021,416,6,7,Global
2052-4110,2017,416,24,10,Global
0024-3795,2018,416,2,2,Global
2168-2194,2020,416,24,42,Global
0018-9499,2020,416,16,26,Global
1548-7091,2017,416,3,3,Global
1360-2357,2021,416,69,66,Global
1367-9120,2017,416,7,7,Global
1087-0156,2019,416,11,12,Global
0002-9394,2018,416,21,20,Global
0196-6553,2017,416,17,17,Global
0926-860X,2019,416,8,9,Global
0170-0839,2019,416,16,16,Global
0947-7047,2018,416,5,5,Global
2405-8289,2019,415,7,8,Global
1545-5963,2021,415,11,29,Global
1873-2763,2020,415,53,53,Global
0021-9541,2021,415,38,38,Global
1735-1472,2017,415,20,20,Global
0025-5408,2019,415,0,0,Global
0021-9568,2021,415,18,21,Global
0196-6553,2020,415,23,22,Global
0887-6924,2020,415,140,139,Global
0031-3203,2020,415,12,12,Global
0275-004X,2017,415,1,0,Global
0306-4603,2021,415,32,33,Global
0886-0440,2019,415,20,19,Global
1369-8001,2018,415,4,4,Global
0937-3462,2020,414,56,55,Global
1557-1939,2019,414,19,19,Global
0932-0113,2020,414,44,44,Global
0009-8981,2019,414,18,14,Global
0198-8859,2019,414,3,3,Global
2352-152X,2019,414,21,21,Global
0001-4842,2021,414,48,46,Global
0007-1285,2018,414,27,0,Global
2192-2640,2017,414,13,12,Global
1166-7087,2020,414,1,1,Global
0026-2714,2017,414,5,5,Global
0006-2952,2017,414,11,10,Global
0021-8693,2019,414,4,4,Global
0001-6268,2021,414,122,122,Global
2405-4577,2021,414,59,57,Global
0024-3795,2021,414,23,23,Global
1941-7713,2017,414,4,0,Global
0022-3077,2019,414,24,0,Global
2352-409X,2017,414,17,17,Global
0165-1684,2021,414,15,15,Global
1229-9197,2021,414,0,0,Global
1548-0992,2018,413,0,0,Global
0007-1188,2020,413,109,102,Global
0009-2541,2017,413,20,20,Global
1873-2763,2021,413,60,60,Global
0138-9130,2017,413,49,53,Global
0886-3350,2018,413,6,6,Global
0002-9394,2017,413,13,13,Global
0261-5614,2019,413,35,35,Global
0340-5354,2018,413,89,92,Global
1071-3581,2018,413,26,26,Global
1097-2765,2018,413,48,47,Global
0936-5214,2019,412,19,0,Global
2095-4956,2020,412,5,5,Global
0924-0136,2020,412,14,14,Global
1540-496X,2019,412,2,2,Global
0749-5161,2017,412,0,0,Global
0277-2116,2017,412,0,0,Global
0892-6875,2020,412,18,18,Global
0885-6087,2021,412,86,90,Global
0268-2605,2021,412,7,7,Global
1095-4120,2018,412,0,0,Global
0953-4075,2017,412,19,23,Global
0022-1155,2021,412,17,17,Global
0883-9441,2018,412,15,14,Global
0254-6299,2021,411,4,4,Global
1531-7129,2018,411,2,0,Global
0029-5515,2020,411,28,65,Global
0006-3207,2019,411,43,44,Global
0143-8166,2020,411,23,24,Global
0363-5465,2017,411,0,0,Global
0141-1187,2021,411,26,28,Global
2509-7075,2021,411,69,87,Global
0170-0839,2020,411,5,5,Global
1359-835X,2018,411,13,13,Global
1735-1472,2020,411,30,29,Global
0190-7409,2017,411,13,13,Global
1063-7826,2018,411,0,0,Global
0013-8266,2021,411,26,20,Global
0020-7136,2021,411,148,152,Global
1871-4021,2020,411,2,2,Global
0165-1765,2017,411,18,18,Global
1462-2912,2017,410,58,56,Global
0264-9381,2021,410,23,68,Global
1341-8076,2020,410,25,25,Global
0932-0113,2021,410,48,47,Global
1464-4096,2018,409,22,22,Global
1048-891X,2020,409,24,24,Global
0304-4165,2017,409,15,11,Global
0965-2140,2021,409,130,134,Global
0021-9355,2017,409,0,0,Global
0019-5456,2021,409,7,4,Global
1836-0939,2017,409,10,0,Global
0343-8651,2021,409,22,22,Global
2352-5509,2021,409,53,53,Global
2213-2198,2017,409,14,14,Global
0303-4569,2021,409,18,19,Global
0022-4073,2019,409,10,10,Global
1616-301X,2018,408,14,12,Global
0301-4851,2018,408,15,15,Global
0045-7930,2018,408,21,21,Global
0177-798X,2021,408,48,48,Global
0953-816X,2018,408,56,54,Global
1660-9336,2018,408,25,25,Global
0268-1242,2020,408,32,44,Global
1054-139X,2021,408,55,54,Global
0021-9614,2019,408,0,0,Global
0007-1285,2021,408,74,0,Global
0018-9499,2019,408,33,9,Global
1951-6355,2021,408,74,72,Global
0162-3257,2018,408,73,75,Global
1619-7070,2019,408,80,80,Global
2160-3251,2021,408,13,0,Global
0022-4790,2021,408,23,22,Global
1558-2027,2018,408,11,0,Global
0001-6268,2019,407,54,54,Global
0268-1161,2020,407,62,61,Global
1386-9477,2019,407,4,4,Global
0138-9130,2021,407,93,93,Global
0021-9355,2021,407,16,0,Global
0019-1035,2018,407,34,34,Global
0006-3223,2021,407,57,58,Global
1364-5072,2020,407,29,30,Global
1556-0864,2018,407,18,14,Global
0021-1265,2021,407,78,75,Global
0006-3223,2017,407,34,33,Global
0303-4569,2020,407,8,8,Global
1660-9336,2019,407,30,30,Global
0142-1123,2017,407,8,8,Global
1081-1206,2018,407,17,17,Global
0006-3223,2018,407,39,39,Global
1610-0379,2019,406,18,14,Global
0738-3991,2021,406,73,73,Global
0001-706X,2017,406,36,21,Global
0020-7292,2020,406,33,26,Global
0169-1317,2020,406,4,4,Global
0006-8993,2018,406,24,18,Global
0194-5998,2021,406,16,18,Global
0896-6273,2021,406,52,52,Global
0009-9260,2020,406,10,9,Global
0002-9394,2019,406,26,26,Global
2193-4126,2020,406,8,8,Global
1741-2552,2021,405,48,126,Global
0256-307X,2017,405,0,0,Global
1550-7289,2019,405,6,6,Global
0892-6875,2019,405,10,10,Global
0003-4932,2021,405,32,0,Global
2211-9264,2020,405,19,19,Global
1535-3893,2019,405,29,0,Global
0894-1777,2018,405,9,9,Global
0022-1147,2017,405,6,6,Global
1011-372X,2021,405,29,29,Global
1063-7834,2019,405,0,0,Global
1437-062X,2018,405,0,0,Global
0887-6177,2017,405,12,0,Global
1598-6446,2019,405,0,0,Global
0277-3740,2017,404,1,0,Global
0022-510X,2018,404,11,11,Global
0022-3166,2019,404,98,80,Global
0016-7061,2017,404,11,11,Global
0370-1972,2017,404,2,3,Global
0031-3203,2018,404,6,6,Global
0931-041X,2020,404,64,64,Global
2163-0755,2018,404,4,0,Global
0003-4967,2021,404,100,100,Global
0169-555X,2020,404,39,39,Global
0009-2541,2018,404,26,26,Global
1070-3632,2020,404,0,0,Global
0022-3549,2020,404,33,30,Global
1467-5463,2020,404,80,79,Global
0341-8162,2018,404,8,8,Global
1359-835X,2019,404,5,5,Global
1432-8488,2020,403,49,50,Global
2163-0755,2017,403,4,0,Global
1552-4825,2018,403,17,15,Global
0163-6804,2021,403,0,0,Global
1526-6125,2018,403,8,6,Global
0960-0779,2017,403,4,4,Global
0941-0643,2017,403,9,12,Global
0168-1923,2021,403,52,52,Global
1617-7061,2017,403,0,0,Global
2405-4577,2018,403,12,12,Global
0194-911X,2018,403,24,0,Global
0001-1541,2021,403,48,48,Global
1932-8184,2018,403,16,1,Global
0165-1765,2021,403,42,42,Global
1350-4851,2021,403,27,27,Global
1007-5704,2020,403,16,16,Global
0165-5701,2020,402,33,35,Global
1754-5692,2020,402,71,71,Global
0306-3674,2018,402,40,0,Global
0950-1991,2021,402,160,115,Global
1051-8215,2020,402,1,3,Global
0167-2681,2020,402,34,34,Global
1615-9306,2021,402,21,24,Global
0953-4075,2020,402,62,65,Global
2199-160X,2020,402,65,66,Global
0094-3061,2019,402,0,0,Global
0969-806X,2017,402,1,1,Global
0001-706X,2020,402,51,23,Global
0195-6663,2019,402,22,22,Global
0893-6080,2021,402,62,62,Global
1477-5131,2021,402,19,20,Global
1522-1601,2018,402,13,0,Global
1473-2130,2019,402,27,28,Global
0003-6846,2018,401,6,6,Global
1354-1013,2018,401,51,50,Global
1750-9637,2019,401,0,0,Global
1437-062X,2021,401,0,0,Global
0012-3706,2020,401,14,0,Global
1462-8902,2018,401,117,115,Global
0025-729X,2020,401,18,18,Global
0893-6080,2020,401,21,21,Global
2373-9878,2017,400,26,0,Global
0177-798X,2020,400,42,42,Global
0166-218X,2021,400,32,32,Global
0021-9584,2018,400,10,0,Global
0378-3820,2018,400,9,9,Global
0370-1972,2020,400,90,90,Global
0736-8046,2020,400,8,8,Global
0922-6168,2017,400,1,2,Global
0140-7007,2020,400,9,9,Global
0269-2813,2020,400,52,2,Global
0920-8542,2020,400,21,21,Global
1388-0764,2017,400,20,24,Global
0024-3795,2019,400,1,1,Global
0969-8043,2017,400,10,10,Global
1613-3633,2018,400,0,0,Global
0272-7714,2018,399,10,10,Global
0940-6719,2017,399,38,37,Global
0011-9164,2020,399,23,25,Global
0006-2952,2018,399,26,24,Global
0969-8043,2020,399,28,28,Global
0361-8609,2017,399,19,19,Global
0034-4338,2021,399,1,2,Global
1574-1443,2020,399,5,4,Global
0006-3223,2019,399,30,30,Global
0720-048X,2017,399,5,5,Global
0022-2836,2018,399,58,58,Global
0022-2836,2021,399,117,120,Global
0098-1354,2020,399,40,40,Global
1438-9010,2021,399,1,1,Global
0932-0067,2019,398,35,35,Global
1012-0394,2019,398,2,2,Global
1099-047X,2020,398,3,3,Global
2192-2640,2019,398,26,25,Global
0007-1145,2018,398,28,26,Global
0263-6352,2017,398,0,0,Global
1556-6013,2021,398,6,18,Global
2052-1545,2018,398,7,7,Global
0899-8418,2017,398,30,30,Global
1091-255X,2018,398,22,22,Global
0022-5193,2017,398,30,29,Global
0268-2575,2019,398,14,13,Global
0306-0012,2020,398,66,66,Global
1525-4135,2019,398,54,0,Global
1439-4227,2021,398,122,121,Global
1073-7928,2020,398,21,19,Global
0195-6701,2020,398,39,39,Global
1434-8411,2020,397,3,3,Global
0163-4984,2019,397,28,28,Global
0022-1112,2020,397,38,38,Global
1083-4435,2021,397,4,11,Global
0893-7648,2019,397,58,58,Global
0018-8158,2017,397,29,33,Global
0022-2151,2021,397,19,27,Global
0375-9474,2019,397,241,241,Global
1935-7893,2021,397,136,131,Global
0266-3538,2017,397,8,8,Global
1007-5704,2019,397,1,1,Global
1570-0755,2019,397,20,20,Global
1063-7834,2018,397,0,0,Global
1031-3613,2019,396,9,0,Global
0196-6553,2019,396,21,21,Global
1479-6694,2019,396,82,0,Global
0962-8436,2021,396,159,10,Global
0275-004X,2018,396,7,0,Global
0378-1135,2017,396,16,15,Global
0264-9381,2019,396,25,27,Global
0167-2738,2018,396,7,7,Global
0019-1035,2020,396,38,38,Global
0815-9319,2020,396,22,22,Global
0006-8993,2017,396,15,10,Global
0950-7051,2018,396,4,4,Global
1010-7940,2019,396,23,16,Global
1090-820X,2020,396,43,37,Global
0170-0839,2018,396,14,15,Global
1524-9050,2018,396,16,4,Global
1051-9815,2021,396,18,22,Global
1076-0512,2018,396,5,0,Global
1570-0232,2021,396,42,42,Global
0016-5751,2018,395,72,73,Global
0163-6804,2019,395,0,0,Global
0887-624X,2017,395,4,4,Global
1875-5100,2017,395,1,1,Global
1470-0328,2021,395,98,100,Global
1876-1070,2018,395,0,0,Global
0309-2402,2021,395,95,97,Global
1063-7826,2019,395,0,0,Global
0921-8009,2018,395,33,33,Global
0723-2632,2021,395,55,55,Global
0937-3462,2021,395,62,62,Global
0828-282X,2020,395,12,9,Global
0041-0101,2018,395,16,6,Global
1526-2375,2017,395,50,8,Global
2193-5807,2021,395,10,10,Global
0001-8708,2019,395,6,6,Global
1022-1336,2018,395,6,6,Global
0022-3751,2021,395,81,83,Global
0002-936X,2021,395,0,0,Global
1550-7289,2020,394,11,7,Global
0001-8708,2020,394,8,8,Global
1071-3581,2017,394,18,23,Global
0002-0729,2017,394,28,15,Global
0016-6731,2017,394,19,0,Global
1087-0156,2021,394,15,15,Global
0969-8043,2019,394,13,13,Global
0937-4477,2018,394,44,47,Global
1590-1874,2018,394,11,11,Global
1933-7191,2021,394,53,54,Global
0021-8812,2020,394,73,52,Global
1077-4114,2020,394,2,0,Global
0366-6352,2020,394,15,16,Global
0143-1161,2020,394,13,13,Global
0885-8977,2018,394,7,6,Global
0960-7412,2019,394,98,95,Global
0277-3740,2019,393,16,0,Global
1522-1601,2017,393,9,0,Global
1350-4495,2020,393,9,9,Global
2162-237X,2019,393,17,5,Global
1478-3223,2020,393,85,83,Global
0019-1035,2017,393,31,31,Global
0960-7412,2017,393,50,43,Global
1434-8411,2019,393,1,1,Global
0166-218X,2017,393,3,3,Global
0022-152X,2019,393,0,0,Global
0965-2140,2017,393,38,38,Global
1933-7191,2020,393,41,41,Global
1438-1656,2019,393,44,45,Global
1548-7091,2019,393,6,5,Global
1462-8910,2019,392,16,15,Global
1355-008X,2021,392,88,87,Global
0024-4937,2018,392,12,12,Global
2468-8231,2018,392,2,2,Global
0277-6715,2021,392,79,81,Global
1091-255X,2020,392,22,23,Global
0033-2917,2019,392,88,92,Global
0033-2917,2017,392,57,58,Global
0898-1221,2020,392,10,10,Global
1439-4235,2020,392,75,75,Global
0009-9236,2020,392,135,136,Global
0940-6719,2020,392,70,69,Global
1062-1024,2019,392,33,34,Global
1396-0296,2019,392,9,7,Global
0171-5216,2021,392,153,154,Global
1079-2082,2018,392,2,2,Global
0924-0136,2021,392,24,24,Global
1554-8929,2018,392,41,0,Global
1434-8411,2021,392,11,11,Global
0741-238X,2021,391,251,254,Global
0952-8180,2021,391,17,16,Global
2397-334X,2017,391,8,8,Global
1948-5875,2021,391,29,31,Global
0955-3959,2021,391,60,60,Global
0948-5023,2021,391,9,8,Global
1166-7087,2018,391,0,0,Global
0144-3615,2019,391,1,1,Global
0039-7857,2020,391,145,144,Global
0018-9200,2021,391,10,24,Global
0001-8708,2018,391,7,8,Global
0016-5751,2019,391,67,67,Global
1878-0938,2020,391,2,2,Global
0049-6979,2018,391,31,33,Global
0025-5408,2021,391,2,2,Global
0024-3795,2020,391,15,15,Global
0921-030X,2018,390,26,27,Global
1701-2163,2021,390,6,6,Global
1438-1656,2018,390,3,3,Global
0016-5751,2020,390,62,62,Global
2326-5191,2021,390,66,71,Global
0277-2116,2019,390,17,0,Global
0166-218X,2018,390,5,5,Global
0026-0495,2021,390,29,29,Global
0954-4062,2019,390,2,0,Global
0165-9936,2019,390,16,16,Global
0921-030X,2017,390,23,24,Global
0744-8481,2021,390,18,18,Global
0277-3740,2020,390,17,0,Global
0342-4642,2017,390,27,31,Global
0018-9200,2019,389,36,4,Global
1097-2765,2017,389,44,44,Global
1087-0156,2017,389,7,6,Global
1525-4135,2018,389,29,0,Global
1043-3074,2018,389,19,17,Global
0013-8266,2018,389,3,2,Global
1948-7193,2019,389,12,0,Global
0031-9384,2019,389,25,15,Global
0022-3913,2018,389,4,4,Global
0028-3908,2019,389,26,26,Global
0308-597X,2018,389,68,68,Global
0105-4538,2019,389,68,65,Global
1011-1344,2017,389,2,2,Global
1546-1440,2017,389,3,3,Global
2332-4252,2018,389,11,9,Global
0006-3223,2020,389,36,35,Global
1615-9306,2019,388,7,6,Global
0925-7535,2021,388,63,63,Global
0034-4257,2017,388,47,47,Global
0022-4790,2017,388,10,10,Global
2662-1754,2021,388,0,0,Global
0362-546X,2020,388,11,11,Global
1554-8929,2019,388,50,0,Global
0304-3959,2021,388,34,0,Global
1769-7255,2021,388,0,0,Global
1877-2641,2020,388,33,33,Global
1745-2473,2018,388,1,2,Global
0378-5122,2019,388,13,13,Global
0033-3506,2021,388,33,36,Global
0940-6719,2021,388,76,76,Global
1522-1601,2021,388,34,0,Global
0012-365X,2021,388,18,18,Global
1435-7402,2020,388,0,0,Global
2192-2640,2018,388,11,11,Global
1432-6981,2019,387,41,41,Global
0013-7944,2017,387,3,3,Global
0030-3992,2017,387,5,5,Global
1557-7740,2018,387,5,0,Global
0278-4297,2020,387,17,17,Global
0001-4575,2020,387,26,26,Global
0962-1067,2019,387,21,21,Global
0379-0738,2020,387,34,35,Global
0020-1383,2018,387,10,10,Global
1389-1286,2020,387,20,20,Global
0893-9659,2019,387,2,2,Global
0926-860X,2021,386,20,22,Global
2211-0348,2018,386,17,17,Global
0025-729X,2019,386,16,16,Global
1470-0328,2019,386,40,39,Global
1557-7740,2020,386,12,0,Global
0024-4937,2019,386,8,8,Global
0011-9059,2019,386,6,6,Global
0303-8467,2018,386,7,7,Global
0948-5023,2019,386,31,31,Global
1522-1601,2019,386,15,0,Global
2040-8978,2017,386,31,32,Global
2567-4765,2019,386,0,0,Global
0011-9059,2017,386,1,1,Global
0747-5632,2020,386,25,25,Global
0009-2797,2019,386,24,20,Global
1090-7165,2021,386,70,70,Global
1091-8531,2017,386,1,1,Global
0009-7330,2020,386,33,0,Global
1355-008X,2020,385,60,60,Global
0149-7634,2020,385,58,56,Global
0018-9200,2018,385,32,2,Global
0049-4747,2019,385,24,23,Global
2662-1754,2020,385,0,0,Global
0001-6268,2017,385,38,42,Global
0033-2917,2018,385,63,63,Global
0815-9319,2017,385,10,6,Global
1750-9637,2020,385,0,0,Global
0140-9883,2019,384,19,19,Global
0899-823X,2018,384,10,10,Global
1063-6706,2021,384,3,5,Global
1063-7834,2017,384,0,0,Global
0926-860X,2017,384,5,5,Global
0022-0493,2017,384,24,2,Global
0169-1317,2019,384,4,4,Global
0040-6090,2021,384,16,17,Global
2213-2600,2021,384,18,16,Global
0009-8981,2017,384,14,12,Global
0010-4825,2020,384,29,23,Global
0196-6553,2018,383,23,23,Global
0168-1923,2019,383,18,18,Global
0006-8950,2017,383,94,38,Global
2194-4288,2021,383,78,81,Global
1049-8923,2019,383,9,9,Global
0264-9381,2017,383,14,15,Global
2365-709X,2019,383,21,21,Global
0305-750X,2020,383,64,65,Global
1011-372X,2020,383,12,12,Global
0165-5701,2017,383,10,17,Global
1531-1309,2021,383,5,14,Global
1557-1939,2020,383,13,14,Global
2190-5517,2020,383,12,12,Global
1862-6300,2021,383,56,56,Global
2452-2139,2021,383,6,5,Global
2168-6777,2020,383,8,7,Global
0149-6395,2017,382,1,1,Global
0148-7043,2019,382,6,0,Global
0046-8177,2017,382,2,2,Global
0020-7748,2017,382,8,9,Global
2326-5191,2017,382,37,37,Global
1769-7255,2019,382,0,0,Global
0379-0738,2021,382,60,60,Global
1354-1013,2019,382,84,86,Global
1079-5006,2021,382,76,65,Global
0932-0113,2019,382,31,31,Global
1120-1797,2021,382,43,42,Global
0269-9370,2020,382,37,0,Global
1543-8384,2021,382,54,55,Global
0022-1147,2018,382,6,6,Global
0021-8812,2019,382,45,26,Global
0009-8981,2021,382,32,32,Global
1364-503X,2020,382,84,58,Global
0921-8831,2018,382,9,9,Global
1432-9026,2017,382,0,0,Global
1367-9120,2018,382,7,7,Global
0741-238X,2020,382,270,256,Global
0951-418X,2020,382,17,16,Global
0029-5515,2018,382,39,39,Global
0022-328X,2020,381,13,13,Global
1359-5113,2020,381,15,4,Global
1077-2626,2019,381,20,9,Global
0196-0709,2021,381,6,5,Global
1948-7193,2017,381,23,0,Global
0304-8608,2019,381,24,24,Global
1034-4810,2019,381,4,4,Global
1750-9637,2017,381,0,0,Global
1078-5884,2017,381,7,7,Global
0168-1923,2018,381,22,22,Global
2688-4534,2021,381,1,1,Global
0007-1188,2017,381,36,34,Global
0003-9888,2021,381,58,58,Global
0165-5876,2021,381,23,22,Global
0167-9899,2021,381,87,86,Global
0304-3975,2017,381,5,5,Global
0031-3203,2019,381,12,12,Global
2194-4288,2020,381,51,52,Global
1556-0864,2020,380,44,43,Global
1079-2082,2017,380,0,0,Global
0264-2751,2021,380,68,68,Global
1432-8488,2017,380,12,15,Global
0072-1050,2020,380,12,12,Global
0167-8655,2019,380,8,8,Global
0301-0104,2020,380,7,7,Global
1087-0156,2018,380,14,9,Global
1525-8610,2017,380,13,13,Global
0899-9007,2021,380,37,37,Global
0018-8158,2018,380,45,46,Global
0925-4439,2018,380,27,27,Global
1388-9842,2020,380,90,90,Global
1869-1919,2020,380,2,2,Global
0149-6395,2019,380,3,3,Global
1882-0778,2021,380,27,62,Global
0378-7796,2018,380,7,7,Global
0008-6363,2021,380,97,104,Global
1434-6621,2020,380,36,65,Global
0177-798X,2018,379,32,34,Global
0920-8542,2019,379,10,10,Global
2379-3694,2018,379,24,1,Global
1099-5129,2020,379,48,44,Global
0268-3369,2020,379,32,35,Global
1438-9010,2017,379,0,0,Global
0886-7798,2020,379,12,12,Global
0948-5023,2017,379,21,26,Global
0740-9303,2020,379,1,0,Global
0032-079X,2020,379,57,57,Global
1166-7087,2017,379,0,0,Global
0891-3668,2018,379,9,0,Global
0960-3182,2021,379,15,15,Global
1572-1000,2017,379,5,5,Global
1701-2163,2017,379,4,3,Global
0962-1083,2018,379,49,49,Global
1877-2641,2017,379,25,26,Global
0946-7076,2020,379,12,12,Global
0022-4790,2019,379,10,11,Global
0891-3668,2019,379,18,0,Global
0193-1091,2020,379,1,0,Global
1529-7535,2019,379,9,0,Global
1198-743X,2019,379,37,37,Global
1246-7820,2017,379,0,0,Global
0167-8442,2020,379,15,16,Global
0018-9294,2020,379,29,34,Global
0167-8809,2018,378,37,37,Global
1054-1500,2017,378,21,2,Global
0278-4297,2018,378,5,5,Global
1862-6300,2020,378,58,59,Global
0003-4967,2017,378,74,0,Global
0022-3166,2020,378,87,68,Global
1550-7289,2021,378,17,17,Global
0023-2165,2017,378,6,6,Global
0264-9993,2020,378,30,30,Global
0009-2541,2020,378,37,37,Global
0018-9251,2020,378,1,15,Global
0743-8346,2021,378,26,26,Global
0021-8812,2021,378,93,85,Global
1590-1874,2017,378,9,9,Global
1042-7147,2021,378,13,13,Global
0143-974X,2017,378,4,4,Global
0145-8892,2017,378,2,2,Global
0167-8809,2021,378,54,55,Global
0886-7798,2018,378,7,7,Global
0014-4827,2019,378,39,40,Global
0308-0110,2020,378,57,55,Global
1546-1440,2019,377,6,5,Global
0007-4888,2017,377,0,0,Global
0022-0493,2019,377,52,19,Global
1818-9962,2021,377,7,4,Global
2688-4534,2020,377,1,0,Global
2195-1071,2017,377,14,14,Global
0953-6205,2020,377,12,10,Global
1364-503X,2017,377,44,0,Global
1359-835X,2020,377,18,18,Global
1531-7129,2019,377,20,0,Global
0021-9584,2017,377,21,0,Global
0929-1393,2021,377,26,26,Global
0749-6036,2019,377,1,1,Global
0254-5330,2018,377,23,26,Global
0020-7683,2018,377,16,16,Global
0256-7040,2017,376,12,19,Global
0341-8162,2017,376,4,4,Global
0165-1765,2019,376,15,15,Global
1355-6037,2018,376,33,0,Global
1701-2163,2019,376,8,8,Global
2398-4902,2019,376,40,40,Global
0885-3010,2021,376,11,31,Global
0007-1145,2019,376,35,36,Global
0962-1105,2018,376,13,13,Global
0032-079X,2017,376,32,36,Global
1005-0302,2019,376,0,0,Global
