issn_l,cr_year,article_total,upw_hybrid_total,cr_hybrid_total,cat
2470-0045,2021,1933,76,71,Global
0003-6951,2019,1931,101,0,Global
0020-1669,2020,1929,130,26,Global
0268-3768,2021,1926,229,227,Global
2053-2733,2017,1926,5,5,Global
1523-7052,2018,1926,42,0,Global
0743-7463,2018,1925,98,0,Global
0045-6535,2017,1922,47,25,Global
0022-5223,2021,1919,26,20,Global
0308-8146,2018,1916,70,37,Global
0006-291X,2019,1915,118,115,Global
2365-6549,2018,1913,5,5,Global
0004-6361,2018,1912,189,189,Global
0016-5107,2020,1910,7,6,Global
0308-8146,2020,1908,49,5,Global
2050-7526,2021,1908,175,185,Global
2365-6549,2020,1907,42,41,Global
0017-9310,2019,1901,24,24,Global
0888-5885,2018,1898,52,0,Global
1523-7052,2020,1897,85,14,Global
1013-9826,2017,1887,4,7,Global
1523-7052,2021,1885,87,98,Global
2212-4403,2020,1885,7,7,Global
0255-5476,2019,1884,19,19,Global
0021-8979,2021,1880,207,0,Global
0003-2700,2017,1869,151,0,Global
2050-7526,2019,1867,90,90,Global
0094-8276,2021,1864,651,659,Global
0020-1669,2019,1864,57,1,Global
0021-9606,2021,1857,278,0,Global
1144-0546,2017,1853,66,22,Global
0016-5107,2019,1847,6,6,Global
1757-790X,2020,1847,111,107,Global
0013-4686,2020,1832,61,61,Global
1058-4838,2020,1831,389,277,Global
0012-3692,2017,1828,23,21,Global
0030-4026,2019,1827,10,11,Global
0167-577X,2018,1826,9,9,Global
0167-577X,2019,1825,8,8,Global
0306-2619,2018,1821,137,137,Global
0743-7463,2017,1819,122,0,Global
1064-1246,2021,1818,4,4,Global
0306-2619,2019,1811,108,109,Global
0960-1481,2021,1808,124,125,Global
0016-5107,2018,1801,7,6,Global
0022-2860,2020,1793,13,13,Global
0013-4686,2021,1789,104,109,Global
1530-437X,2020,1780,31,67,Global
0004-6361,2017,1780,27,1,Global
0308-8146,2017,1778,76,31,Global
0195-9131,2021,1778,28,0,Global
1613-6810,2021,1777,161,163,Global
0743-7463,2019,1777,107,0,Global
0925-4005,2021,1770,61,63,Global
0263-6352,2018,1769,7,0,Global
1523-7052,2017,1769,73,0,Global
0020-1669,2018,1768,36,0,Global
0140-6736,2019,1768,149,146,Global
0306-2619,2017,1766,102,102,Global
0030-4026,2018,1763,2,2,Global
2168-0485,2021,1762,173,194,Global
0141-0296,2021,1754,123,126,Global
0018-9456,2021,1744,18,75,Global
0042-4900,2019,1742,71,1,Global
1936-0851,2021,1741,229,243,Global
0306-2619,2020,1741,170,172,Global
0013-936X,2021,1741,272,277,Global
2214-7853,2017,1738,24,8,Global
1948-7185,2021,1737,164,178,Global
1616-301X,2019,1736,82,82,Global
2365-6549,2017,1727,8,8,Global
0925-4005,2019,1719,21,21,Global
0888-5885,2021,1718,142,161,Global
0022-3263,2019,1717,65,0,Global
0743-7463,2020,1713,142,16,Global
1380-7501,2020,1711,56,56,Global
0017-9310,2018,1709,10,10,Global
0960-8524,2018,1709,32,18,Global
0020-1669,2017,1707,74,0,Global
0013-936X,2020,1703,203,10,Global
0301-4797,2019,1701,56,56,Global
2050-7526,2018,1700,69,69,Global
0378-4371,2019,1699,35,5,Global
0013-936X,2018,1698,142,1,Global
0167-577X,2020,1694,0,0,Global
0022-3263,2018,1694,37,0,Global
1013-9826,2019,1688,21,21,Global
1101-1262,2017,1682,23,6,Global
0140-6736,2017,1682,125,123,Global
1099-5129,2017,1681,26,17,Global
0016-2361,2018,1681,55,37,Global
0960-8524,2021,1678,80,80,Global
0268-3768,2018,1677,68,72,Global
0925-2312,2021,1677,61,62,Global
0935-9648,2020,1674,188,189,Global
0022-3263,2021,1663,114,131,Global
0167-7322,2018,1662,6,6,Global
0140-6736,2018,1657,128,125,Global
0741-5214,2019,1655,16,13,Global
0167-5273,2017,1653,72,71,Global
1359-4311,2018,1653,21,21,Global
0303-6979,2018,1652,6,6,Global
1078-5884,2019,1652,9,9,Global
1359-4311,2019,1649,17,17,Global
2352-7102,2021,1647,99,98,Global
0009-7322,2017,1647,45,0,Global
2050-7526,2017,1646,90,27,Global
0013-936X,2017,1644,175,0,Global
