esac_publisher,country_code,cr_year,oa_n,n,has_ta
EDP Sciences,NA,2021,0,970,FALSE
EDP Sciences,NA,2022,0,2686,FALSE
EDP Sciences,NA,2020,0,843,FALSE
EDP Sciences,NA,2017,0,584,FALSE
AIP Publishing,NA,2020,0,1463,FALSE
AIP Publishing,NA,2019,0,1730,FALSE
AIP Publishing,NA,2022,0,1398,FALSE
AIP Publishing,NA,2021,0,1753,FALSE
AIP Publishing,NA,2018,0,1813,FALSE
AIP Publishing,NA,2017,0,7318,FALSE
BMJ Publishing,NA,2019,0,4379,FALSE
BMJ Publishing,NA,2018,0,4632,FALSE
BMJ Publishing,NA,2017,0,4620,FALSE
BMJ Publishing,NA,2021,0,3612,FALSE
BMJ Publishing,NA,2022,0,2815,FALSE
BMJ Publishing,NA,2020,0,4538,FALSE
Bioscientifica,NA,2017,0,78,FALSE
Bioscientifica,NA,2018,0,33,FALSE
Bioscientifica,NA,2021,0,22,FALSE
Bioscientifica,NA,2020,0,19,FALSE
Bioscientifica,NA,2019,0,23,FALSE
Bioscientifica,NA,2022,0,13,FALSE
IOP Publishing,NA,2018,0,7271,FALSE
IOP Publishing,NA,2021,0,10693,FALSE
IOP Publishing,NA,2020,0,8220,FALSE
IOP Publishing,NA,2017,0,6746,FALSE
IOP Publishing,NA,2019,0,7021,FALSE
IOP Publishing,NA,2022,0,12159,FALSE
IWA Publishing,NA,2022,0,1,FALSE
IWA Publishing,NA,2019,0,2,FALSE
IWA Publishing,NA,2017,0,2,FALSE
IWA Publishing,NA,2020,0,2,FALSE
IWA Publishing,NA,2021,0,1,FALSE
IWA Publishing,NA,2018,0,1,FALSE
Portland Press,NA,2022,0,15,FALSE
Portland Press,NA,2021,0,46,FALSE
Portland Press,NA,2019,0,35,FALSE
Portland Press,NA,2020,0,55,FALSE
Portland Press,NA,2017,0,42,FALSE
Portland Press,NA,2018,0,24,FALSE
Springer Nature,NA,2019,0,38818,FALSE
Springer Nature,NA,2017,0,46602,FALSE
Springer Nature,NA,2018,0,43196,FALSE
Springer Nature,NA,2022,0,68480,FALSE
Springer Nature,NA,2020,0,32891,FALSE
Springer Nature,NA,2021,0,48403,FALSE
Taylor & Francis,NA,2017,0,18839,FALSE
Taylor & Francis,NA,2022,0,11405,FALSE
Taylor & Francis,NA,2021,0,17152,FALSE
Taylor & Francis,NA,2018,0,16205,FALSE
Taylor & Francis,NA,2019,0,16134,FALSE
Taylor & Francis,NA,2020,0,14790,FALSE
The Royal Society,NA,2019,0,4866,FALSE
The Royal Society,NA,2017,0,4643,FALSE
The Royal Society,NA,2018,0,4744,FALSE
The Royal Society,NA,2020,0,4897,FALSE
The Royal Society,NA,2021,0,4694,FALSE
The Royal Society,NA,2022,0,18548,FALSE
Walter de Gruyter,NA,2017,0,13836,FALSE
Walter de Gruyter,NA,2021,0,7591,FALSE
Walter de Gruyter,NA,2020,0,8008,FALSE
Walter de Gruyter,NA,2022,0,5603,FALSE
Walter de Gruyter,NA,2019,0,11512,FALSE
Walter de Gruyter,NA,2018,0,9979,FALSE
Royal Irish Academy,NA,2018,0,179,FALSE
Royal Irish Academy,NA,2020,0,148,FALSE
Royal Irish Academy,NA,2021,0,227,FALSE
Royal Irish Academy,NA,2022,0,61,FALSE
Royal Irish Academy,NA,2017,0,157,FALSE
Royal Irish Academy,NA,2019,0,184,FALSE
Future Science Group,NA,2019,0,71,FALSE
Future Science Group,NA,2021,0,52,FALSE
Future Science Group,NA,2017,0,72,FALSE
Future Science Group,NA,2020,0,72,FALSE
Future Science Group,NA,2018,0,56,FALSE
Future Science Group,NA,2022,0,41,FALSE
Microbiology Society,NA,2019,0,25,FALSE
Microbiology Society,NA,2021,0,18,FALSE
Microbiology Society,NA,2017,0,47,FALSE
Microbiology Society,NA,2022,0,9,FALSE
Microbiology Society,NA,2018,0,35,FALSE
Microbiology Society,NA,2020,0,24,FALSE
Company of Biologists,NA,2017,0,249,FALSE
Company of Biologists,NA,2020,0,319,FALSE
Company of Biologists,NA,2022,0,250,FALSE
Company of Biologists,NA,2021,0,302,FALSE
Company of Biologists,NA,2018,0,289,FALSE
Company of Biologists,NA,2019,0,291,FALSE
Wolters Kluwer Health,NA,2018,0,25843,FALSE
Wolters Kluwer Health,NA,2020,0,23044,FALSE
Wolters Kluwer Health,NA,2021,0,16342,FALSE
Wolters Kluwer Health,NA,2017,0,19022,FALSE
