cr_year,issn_l,article_total,tdm_total,orcid_total,funder_total,abstract_total,ref_total,cat
2018,0165-5876,3,3,2,3,0,3,Global
2019,0165-5876,6,6,4,2,0,6,Global
2020,0165-5876,18,18,8,7,0,18,Global
2021,0165-5876,22,22,16,8,0,22,Global
2022,0165-5876,24,24,22,4,0,24,Global
2017,0165-6147,2,2,0,1,0,2,Global
2018,0165-6147,1,1,0,1,0,1,Global
2019,0165-6147,8,8,2,5,0,8,Global
2020,0165-6147,13,13,2,10,0,13,Global
2021,0165-6147,11,11,4,8,0,11,Global
2021,0165-6147,1,1,1,0,0,1,Germany
2022,0165-6147,21,21,17,12,0,21,Global
2020,0165-7305,2,2,0,0,2,0,Global
2021,0165-7305,8,8,5,2,8,0,Global
2017,0165-7380,2,2,1,2,0,2,Global
2018,0165-7380,4,4,3,3,0,4,Global
2018,0165-7380,1,1,1,0,0,1,Germany
2019,0165-7380,3,3,2,2,0,3,Global
2020,0165-7380,4,4,3,4,4,4,Global
2021,0165-7380,11,11,11,8,11,11,Global
2021,0165-7380,1,1,1,1,1,1,Germany
2022,0165-7380,32,32,23,26,30,30,Global
2022,0165-7380,2,2,1,2,2,2,Germany
2017,0165-7836,8,8,0,6,0,8,Global
2018,0165-7836,12,12,6,6,0,12,Global
2018,0165-7836,1,1,0,0,0,1,Germany
2019,0165-7836,21,21,12,18,0,21,Global
2020,0165-7836,23,23,14,18,0,23,Global
2021,0165-7836,37,37,21,23,0,37,Global
2022,0165-7836,69,69,3,17,0,69,Global
2022,0165-7836,1,1,0,1,0,1,Germany
2017,0165-8107,3,3,2,3,0,3,Global
2019,0165-8107,2,1,0,1,0,2,Global
2020,0165-8107,1,0,1,1,0,1,Global
2021,0165-8107,1,0,0,1,0,1,Global
2022,0165-8107,2,0,2,2,0,2,Global
2020,0165-9227,2,2,0,0,2,0,Global
2021,0165-9227,9,9,7,1,9,0,Global
2022,0165-9227,1,1,0,0,1,1,Global
2017,0165-9936,5,5,0,4,0,5,Global
2017,0165-9936,1,1,0,1,0,1,Germany
2018,0165-9936,3,3,2,2,0,3,Global
2019,0165-9936,16,16,6,6,0,16,Global
2019,0165-9936,1,1,0,0,0,1,Germany
2020,0165-9936,18,18,5,14,0,18,Global
2021,0165-9936,33,33,27,21,0,33,Global
2021,0165-9936,1,1,1,1,0,1,Germany
2022,0165-9936,31,31,19,14,0,31,Global
2022,0165-9936,3,3,2,2,0,3,Germany
2018,0166-0462,5,5,0,4,0,5,Global
2018,0166-0462,1,1,0,0,0,1,Germany
2019,0166-0462,2,2,1,1,0,2,Global
2020,0166-0462,6,6,1,3,0,6,Global
2021,0166-0462,5,5,2,3,0,5,Global
2022,0166-0462,13,13,8,6,0,13,Global
2022,0166-0462,2,2,0,0,0,2,Germany
2017,0166-0934,26,26,0,20,0,26,Global
2017,0166-0934,1,1,0,0,0,1,Germany
2018,0166-0934,19,19,3,11,0,19,Global
2019,0166-0934,22,22,11,17,0,22,Global
2019,0166-0934,1,1,0,0,0,1,Germany
2020,0166-0934,23,23,3,19,0,23,Global
2020,0166-0934,1,1,0,1,0,1,Germany
2021,0166-0934,45,45,33,26,0,45,Global
2021,0166-0934,1,1,1,0,0,1,Germany
2022,0166-0934,34,34,19,15,0,34,Global
2022,0166-0934,2,2,1,1,0,2,Germany
2017,0166-218X,3,3,2,1,0,3,Global
2018,0166-218X,5,5,2,5,0,5,Global
2019,0166-218X,4,4,1,4,0,4,Global
2020,0166-218X,10,10,6,6,0,10,Global
2021,0166-218X,32,32,29,25,0,32,Global
2021,0166-218X,2,2,2,1,0,2,Germany
2022,0166-218X,35,35,32,20,0,35,Global
2022,0166-218X,2,2,2,1,0,2,Germany
2017,0166-2236,6,6,1,0,0,6,Global
2018,0166-2236,9,9,3,8,0,9,Global
2019,0166-2236,5,5,1,5,0,5,Global
2020,0166-2236,17,17,7,16,0,17,Global
2021,0166-2236,13,13,3,11,0,13,Global
2021,0166-2236,5,5,1,5,0,5,Germany
2022,0166-2236,22,22,14,8,0,22,Global
2022,0166-2236,4,4,1,2,0,4,Germany
2018,0166-2740,1,1,0,0,1,0,Global
2020,0166-2740,4,4,0,0,4,0,Global
2021,0166-2740,3,3,2,0,3,0,Global
2022,0166-2740,2,2,1,0,2,1,Global
2017,0166-3542,26,26,19,21,0,26,Global
2017,0166-3542,1,1,0,1,0,1,Germany
2018,0166-3542,27,27,21,23,0,27,Global
2018,0166-3542,4,4,3,4,0,4,Germany
2019,0166-3542,35,35,12,32,0,35,Global
2019,0166-3542,3,3,3,3,0,3,Germany
2020,0166-3542,44,44,20,39,0,44,Global
2020,0166-3542,5,5,3,5,0,5,Germany
2021,0166-3542,42,42,38,28,0,42,Global
2021,0166-3542,3,3,3,1,0,3,Germany
2022,0166-3542,42,42,34,12,0,42,Global
2022,0166-3542,2,2,2,1,0,2,Germany
2018,0166-3615,11,11,3,7,0,11,Global
2019,0166-3615,6,6,2,4,0,6,Global
2019,0166-3615,1,1,0,0,0,1,Germany
2020,0166-3615,10,10,2,7,0,9,Global
2021,0166-3615,22,22,15,9,0,22,Global
2021,0166-3615,1,1,1,1,0,1,Germany
2022,0166-3615,34,34,2,10,0,34,Global
2022,0166-3615,3,3,0,1,0,3,Germany
2017,0166-4328,15,15,3,12,0,15,Global
2017,0166-4328,1,1,0,1,0,1,Germany
2018,0166-4328,29,29,4,20,0,29,Global
2018,0166-4328,4,4,0,4,0,4,Germany
2019,0166-4328,37,37,12,31,0,37,Global
2019,0166-4328,1,1,1,1,0,1,Germany
2020,0166-4328,28,28,5,22,0,28,Global
2020,0166-4328,2,2,2,1,0,2,Germany
2021,0166-4328,43,43,34,36,0,43,Global
2021,0166-4328,2,2,2,2,0,2,Germany
2022,0166-4328,55,55,7,30,0,55,Global
2022,0166-4328,6,6,0,2,0,6,Germany
2017,0166-445X,7,7,0,7,0,7,Global
2017,0166-445X,1,1,0,1,0,1,Germany
2018,0166-445X,11,11,6,9,0,11,Global
2019,0166-445X,8,8,5,7,0,8,Global
2020,0166-445X,16,16,5,15,0,16,Global
2021,0166-445X,32,32,28,24,0,32,Global
2021,0166-445X,2,2,2,1,0,2,Germany
2022,0166-445X,20,20,14,8,0,20,Global
2017,0166-4972,2,2,0,1,0,2,Global
2018,0166-4972,2,2,0,1,0,2,Global
2019,0166-4972,3,3,1,0,0,3,Global
2019,0166-4972,1,1,0,0,0,1,Germany
2020,0166-4972,4,4,1,3,0,4,Global
2021,0166-4972,28,28,10,21,0,28,Global
2021,0166-4972,1,1,0,0,0,1,Germany
2022,0166-4972,56,56,49,10,0,56,Global
2022,0166-4972,1,1,1,0,0,1,Germany
2017,0166-5162,5,5,3,3,0,5,Global
2018,0166-5162,9,9,7,8,0,9,Global
2019,0166-5162,11,11,3,10,0,11,Global
2020,0166-5162,10,10,0,9,0,10,Global
2021,0166-5162,19,19,0,16,0,19,Global
2022,0166-5162,11,11,0,6,0,10,Global
2017,0166-5316,1,1,1,1,0,1,Global
2019,0166-5316,1,1,0,1,0,1,Global
2020,0166-5316,2,2,0,2,0,2,Global
2021,0166-5316,10,10,7,8,0,10,Global
2022,0166-5316,5,5,4,2,0,5,Global
2017,0166-6851,9,9,0,8,0,8,Global
2018,0166-6851,3,3,2,2,0,3,Global
2019,0166-6851,5,5,1,5,0,5,Global
2020,0166-6851,11,11,4,10,0,11,Global
2021,0166-6851,10,10,8,9,0,10,Global
2021,0166-6851,1,1,0,1,0,1,Germany
2022,0166-6851,6,6,1,3,0,6,Global
2017,0166-8595,28,28,12,7,0,28,Global
2017,0166-8595,3,3,1,1,0,3,Germany
2018,0166-8595,16,16,12,11,0,16,Global
2018,0166-8595,3,3,2,0,0,3,Germany
2019,0166-8595,15,15,13,11,5,15,Global
2019,0166-8595,1,1,1,1,0,1,Germany
2020,0166-8595,24,24,21,10,23,24,Global
2020,0166-8595,4,4,3,2,3,4,Germany
2021,0166-8595,16,16,15,14,16,16,Global
2021,0166-8595,2,2,2,1,2,2,Germany
2022,0166-8595,19,19,18,13,18,18,Global
2022,0166-8595,2,2,2,1,2,2,Germany
2017,0166-8641,2,2,0,1,0,2,Global
2019,0166-8641,4,4,0,4,0,4,Global
2020,0166-8641,9,9,3,6,0,9,Global
2021,0166-8641,7,7,3,6,0,7,Global
2022,0166-8641,17,17,11,10,0,17,Global
2017,0167-1987,3,3,2,3,0,3,Global
2018,0167-1987,5,5,1,4,0,5,Global
2019,0167-1987,16,16,8,14,0,16,Global
2020,0167-1987,14,14,0,13,0,14,Global
2020,0167-1987,4,4,0,3,0,4,Germany
2021,0167-1987,28,28,23,20,0,28,Global
2021,0167-1987,1,1,1,0,0,1,Germany
2022,0167-1987,32,32,4,11,0,32,Global
2022,0167-1987,3,3,1,2,0,3,Germany
2017,0167-2681,8,8,0,2,0,8,Global
2017,0167-2681,1,1,0,0,0,1,Germany
2018,0167-2681,13,13,5,7,0,13,Global
2019,0167-2681,13,13,10,6,0,13,Global
2019,0167-2681,2,2,1,0,0,2,Germany
2020,0167-2681,34,34,25,20,0,34,Global
2020,0167-2681,5,5,3,3,0,5,Germany
2021,0167-2681,78,78,40,37,0,78,Global
2021,0167-2681,7,7,2,3,0,7,Germany
2022,0167-2681,89,89,65,24,0,89,Global
2022,0167-2681,9,9,7,4,0,9,Germany
2017,0167-2738,3,3,1,3,0,3,Global
2018,0167-2738,7,7,4,6,0,7,Global
2018,0167-2738,1,1,1,0,0,1,Germany
2019,0167-2738,6,6,2,5,0,6,Global
2019,0167-2738,2,2,0,2,0,2,Germany
2020,0167-2738,5,5,0,3,0,5,Global
2020,0167-2738,1,1,0,0,0,1,Germany
2021,0167-2738,8,8,0,7,0,8,Global
2021,0167-2738,1,1,0,0,0,1,Germany
2022,0167-2738,10,10,1,5,0,10,Global
2022,0167-2738,2,2,1,1,0,2,Germany
2017,0167-2789,4,4,1,3,0,3,Global
2018,0167-2789,1,1,0,1,0,1,Global
2019,0167-2789,3,3,2,3,0,3,Global
2020,0167-2789,12,12,1,8,0,12,Global
2020,0167-2789,3,3,0,2,0,3,Germany
2021,0167-2789,10,10,3,7,0,10,Global
2021,0167-2789,1,1,0,1,0,1,Germany
2022,0167-2789,30,30,23,20,0,30,Global
2020,0167-3831,5,5,0,0,2,0,Global
2020,0167-3831,1,1,0,0,1,0,Germany
2021,0167-3831,2,2,0,0,2,0,Global
2022,0167-3831,2,2,0,0,2,0,Global
2017,0167-4048,10,10,6,5,0,10,Global
2018,0167-4048,9,9,7,5,0,9,Global
2019,0167-4048,9,9,7,6,0,9,Global
2019,0167-4048,2,2,2,1,0,2,Germany
2020,0167-4048,21,21,16,8,0,21,Global
2020,0167-4048,1,1,1,0,0,1,Germany
2021,0167-4048,25,25,19,14,0,25,Global
2021,0167-4048,1,1,1,1,0,1,Germany
2022,0167-4048,62,62,42,19,0,62,Global
2017,0167-4366,7,7,2,6,0,7,Global
2018,0167-4366,7,7,5,5,1,6,Global
2018,0167-4366,1,1,1,1,0,1,Germany
2019,0167-4366,8,8,8,6,1,8,Global
2020,0167-4366,15,15,15,10,15,15,Global
2020,0167-4366,3,3,3,3,3,3,Germany
2021,0167-4366,16,16,16,14,16,16,Global
2021,0167-4366,3,3,3,2,3,3,Germany
2022,0167-4366,12,12,12,11,12,12,Global
2022,0167-4366,1,1,1,1,1,1,Germany
2017,0167-4412,19,19,9,17,1,18,Global
2017,0167-4412,3,3,2,1,1,2,Germany
2018,0167-4412,5,5,4,4,0,5,Global
2018,0167-4412,1,1,1,1,0,1,Germany
2019,0167-4412,15,15,10,13,3,15,Global
2019,0167-4412,2,2,2,2,1,2,Germany
2020,0167-4412,20,20,19,19,19,20,Global
2020,0167-4412,4,4,4,3,4,4,Germany
2021,0167-4412,20,20,19,18,19,19,Global
2021,0167-4412,8,8,8,7,7,8,Germany
2022,0167-4412,14,14,14,12,13,13,Global
2017,0167-4544,52,52,16,9,1,52,Global
2018,0167-4544,52,52,20,11,2,52,Global
2018,0167-4544,2,2,0,0,0,2,Germany
2019,0167-4544,63,63,36,14,52,62,Global
2019,0167-4544,2,2,1,1,1,2,Germany
2020,0167-4544,62,62,30,26,62,60,Global
2020,0167-4544,6,6,4,5,6,6,Germany
2021,0167-4544,102,102,73,57,101,97,Global
2021,0167-4544,11,11,7,9,11,11,Germany
2022,0167-4544,93,93,64,60,88,88,Global
2022,0167-4544,8,8,6,8,8,8,Germany
2017,0167-4730,3,3,0,2,0,3,Global
2018,0167-4730,3,3,0,2,0,3,Global
2019,0167-4730,2,2,2,2,0,2,Global
2020,0167-4730,2,2,0,2,0,2,Global
2021,0167-4730,7,7,0,5,0,7,Global
2022,0167-4730,8,8,4,4,0,8,Global
2017,0167-482X,3,3,1,1,0,3,Global
2019,0167-482X,3,2,1,1,0,3,Global
2020,0167-482X,5,0,3,3,0,5,Global
2021,0167-482X,2,0,0,0,0,2,Global
2022,0167-482X,5,0,4,3,0,5,Global
2017,0167-4870,3,3,2,2,0,3,Global
2018,0167-4870,2,2,2,1,0,2,Global
2019,0167-4870,4,4,2,2,0,4,Global
2020,0167-4870,7,7,0,4,0,7,Global
2020,0167-4870,2,2,0,2,0,2,Germany
2021,0167-4870,11,11,1,7,0,11,Global
2021,0167-4870,1,1,0,0,0,1,Germany
2022,0167-4870,16,16,6,7,0,16,Global
2022,0167-4870,3,3,0,2,0,3,Germany
2017,0167-4889,9,9,1,8,0,9,Global
2018,0167-4889,14,14,0,13,0,14,Global
2018,0167-4889,2,2,0,2,0,2,Germany
2019,0167-4889,27,27,4,26,0,27,Global
2019,0167-4889,6,6,1,6,0,6,Germany
2020,0167-4889,23,23,3,23,0,23,Global
2020,0167-4889,1,1,0,1,0,1,Germany
2021,0167-4889,29,29,0,27,0,29,Global
2021,0167-4889,3,3,0,3,0,3,Germany
2022,0167-4889,27,27,3,15,0,27,Global
2022,0167-4889,6,6,0,4,0,6,Germany
2017,0167-4943,4,4,1,2,0,4,Global
2018,0167-4943,11,11,4,8,0,11,Global
2019,0167-4943,8,8,4,8,0,8,Global
2020,0167-4943,19,19,12,16,0,19,Global
2021,0167-4943,39,39,3,21,0,39,Global
2022,0167-4943,40,40,19,19,0,40,Global
2019,0167-5133,3,0,0,1,3,3,Global
2020,0167-5133,5,0,0,2,5,5,Global
2020,0167-5133,1,0,0,0,1,1,Germany
2021,0167-5133,6,0,0,1,6,6,Global
2021,0167-5133,2,0,0,0,2,2,Germany
2022,0167-5133,4,0,0,0,4,4,Global
2017,0167-5249,11,11,7,1,0,3,Global
2018,0167-5249,5,5,3,3,0,0,Global
2019,0167-5249,12,12,8,4,1,0,Global
2020,0167-5249,9,9,7,0,9,1,Global
2021,0167-5249,8,8,8,4,6,0,Global
2022,0167-5249,9,9,8,7,8,0,Global
2022,0167-5249,1,1,1,1,1,0,Germany
2017,0167-5273,71,71,32,31,0,70,Global
2017,0167-5273,2,2,0,1,0,2,Germany
2018,0167-5273,75,75,42,61,0,75,Global
2018,0167-5273,8,8,5,6,0,8,Germany
2019,0167-5273,56,56,30,42,0,55,Global
2019,0167-5273,5,5,2,5,0,5,Germany
2020,0167-5273,64,64,0,49,0,64,Global
2021,0167-5273,105,105,1,63,0,105,Global
2021,0167-5273,3,3,0,2,0,3,Germany
2022,0167-5273,90,90,0,28,0,90,Global
2022,0167-5273,2,2,0,1,0,2,Germany
2017,0167-5729,2,2,0,1,0,2,Global
2019,0167-5729,1,1,0,1,0,1,Global
2019,0167-5729,1,1,0,1,0,1,Germany
2020,0167-5729,2,2,0,2,0,2,Global
2020,0167-5729,1,1,0,1,0,1,Germany
2022,0167-5729,2,2,1,2,0,2,Global
2017,0167-577X,7,7,0,4,0,7,Global
2017,0167-577X,1,1,0,1,0,1,Germany
2018,0167-577X,9,9,2,7,0,8,Global
2019,0167-577X,8,8,6,7,0,8,Global
2021,0167-577X,22,22,6,18,0,22,Global
2021,0167-577X,2,2,0,1,0,2,Germany
2022,0167-577X,48,48,2,29,0,48,Global
2022,0167-577X,2,2,0,1,0,2,Germany
2017,0167-5877,32,32,0,17,0,32,Global
2018,0167-5877,32,32,11,21,0,32,Global
2018,0167-5877,1,1,0,0,0,1,Germany
2019,0167-5877,28,28,15,27,0,28,Global
2019,0167-5877,1,1,1,1,0,1,Germany
2020,0167-5877,42,42,1,39,0,42,Global
2020,0167-5877,1,1,0,1,0,1,Germany
2021,0167-5877,51,51,42,36,0,51,Global
2021,0167-5877,1,1,0,1,0,1,Germany
2022,0167-5877,57,57,13,26,0,57,Global
2022,0167-5877,1,1,1,0,0,1,Germany
2017,0167-5923,3,3,3,2,0,3,Global
2017,0167-5923,1,1,1,0,0,1,Germany
2018,0167-5923,5,5,4,4,1,5,Global
2019,0167-5923,6,6,4,3,2,6,Global
2020,0167-5923,6,6,6,5,6,6,Global
2020,0167-5923,1,1,1,1,1,1,Germany
2021,0167-5923,15,15,12,13,15,15,Global
2021,0167-5923,3,3,3,3,3,3,Germany
2022,0167-5923,10,10,10,8,10,10,Global
2022,0167-5923,1,1,1,1,1,1,Germany
2017,0167-594X,38,38,25,16,1,38,Global
2017,0167-594X,1,1,0,0,0,1,Germany
2018,0167-594X,36,36,27,20,2,36,Global
2018,0167-594X,1,1,1,0,0,1,Germany
2019,0167-594X,31,31,31,21,12,30,Global
2019,0167-594X,1,1,1,1,1,1,Germany
2020,0167-594X,46,46,38,34,44,46,Global
2020,0167-594X,10,10,8,6,9,10,Germany
2021,0167-594X,57,57,57,36,54,51,Global
2021,0167-594X,15,15,15,15,15,15,Germany
2022,0167-594X,34,34,23,26,32,32,Global
2022,0167-594X,11,11,7,11,11,11,Germany
2017,0167-6105,12,12,1,10,0,12,Global
2018,0167-6105,15,15,8,14,0,15,Global
2019,0167-6105,9,9,5,6,0,9,Global
2020,0167-6105,30,30,19,25,0,30,Global
2020,0167-6105,1,1,0,1,0,1,Germany
2021,0167-6105,31,31,27,20,0,31,Global
2021,0167-6105,4,4,4,2,0,4,Germany
2022,0167-6105,35,35,33,12,0,35,Global
2022,0167-6105,3,3,3,1,0,3,Germany
2020,0167-6164,3,3,0,0,1,2,Global
2021,0167-6164,4,4,1,0,2,2,Global
2022,0167-6164,1,1,1,0,0,0,Global
2017,0167-6245,1,1,0,0,0,1,Global
2018,0167-6245,1,1,0,0,0,1,Global
2020,0167-6245,1,1,0,0,0,1,Global
2020,0167-6245,1,1,0,0,0,1,Germany
2021,0167-6245,3,3,0,2,0,3,Global
2022,0167-6245,4,4,3,1,0,4,Global
2022,0167-6245,1,1,0,0,0,1,Germany
2017,0167-6296,8,8,1,3,0,8,Global
2018,0167-6296,15,15,1,8,0,14,Global
2018,0167-6296,1,1,0,1,0,1,Germany
2019,0167-6296,6,6,1,4,0,6,Global
2020,0167-6296,22,22,5,15,0,22,Global
2020,0167-6296,1,1,0,0,0,1,Germany
2021,0167-6296,19,19,11,10,0,19,Global
2021,0167-6296,2,2,2,1,0,2,Germany
2022,0167-6296,25,25,14,13,0,25,Global
2019,0167-6318,3,3,0,0,3,3,Global
2020,0167-6318,2,2,1,0,2,2,Global
2021,0167-6318,2,2,0,0,1,2,Global
2022,0167-6318,4,4,2,0,4,4,Global
2022,0167-6318,2,2,2,0,2,2,Germany
2017,0167-6369,41,41,12,29,0,41,Global
2017,0167-6369,2,2,2,0,0,2,Germany
2018,0167-6369,51,51,29,27,0,51,Global
2019,0167-6369,45,45,40,40,9,45,Global
2020,0167-6369,56,56,46,49,55,56,Global
2020,0167-6369,6,6,5,5,6,6,Germany
2021,0167-6369,58,58,51,39,56,56,Global
2021,0167-6369,10,10,9,10,10,10,Germany
2022,0167-6369,68,68,62,53,66,66,Global
2022,0167-6369,7,7,7,7,7,7,Germany
2017,0167-6377,2,2,0,2,0,2,Global
2018,0167-6377,2,2,1,2,0,2,Global
2019,0167-6377,2,2,0,2,0,2,Global
2019,0167-6377,1,1,0,1,0,1,Germany
2020,0167-6377,7,7,4,4,0,7,Global
2021,0167-6377,19,19,18,10,0,19,Global
2022,0167-6377,10,10,10,5,0,10,Global
2022,0167-6377,2,2,2,0,0,2,Germany
2017,0167-6393,2,2,0,1,0,2,Global
2018,0167-6393,4,4,2,3,0,4,Global
2019,0167-6393,4,4,2,2,0,4,Global
2020,0167-6393,6,6,0,4,0,6,Global
2021,0167-6393,19,19,6,15,0,19,Global
2021,0167-6393,1,1,0,1,0,1,Germany
2022,0167-6393,22,22,18,12,0,22,Global
2022,0167-6393,1,1,1,1,0,1,Germany
2017,0167-6423,2,2,1,2,0,2,Global
2018,0167-6423,4,4,2,4,0,4,Global
2018,0167-6423,1,1,0,1,0,1,Germany
2019,0167-6423,2,2,2,2,0,2,Global
2020,0167-6423,7,7,5,3,0,7,Global
2020,0167-6423,1,1,1,0,0,1,Germany
2021,0167-6423,6,6,3,5,0,6,Global
2022,0167-6423,17,17,15,6,0,17,Global
2022,0167-6423,1,1,1,1,0,1,Germany
2017,0167-6636,3,3,1,2,0,3,Global
2018,0167-6636,2,2,2,2,0,2,Global
2019,0167-6636,3,3,1,2,0,3,Global
2019,0167-6636,1,1,1,0,0,1,Germany
2020,0167-6636,11,11,1,9,0,11,Global
2021,0167-6636,17,17,12,12,0,17,Global
2021,0167-6636,2,2,1,1,0,2,Germany
2022,0167-6636,14,14,12,6,0,14,Global
2022,0167-6636,3,3,3,2,0,3,Germany
2018,0167-6687,3,3,1,1,0,3,Global
2019,0167-6687,2,2,1,2,0,2,Global
2019,0167-6687,1,1,1,1,0,1,Germany
2020,0167-6687,11,11,5,6,0,11,Global
2021,0167-6687,22,22,21,14,0,22,Global
2021,0167-6687,2,2,2,1,0,2,Germany
2022,0167-6687,10,10,8,5,0,10,Global
2022,0167-6687,2,2,2,0,0,2,Germany
2017,0167-6806,100,100,58,60,4,100,Global
2017,0167-6806,4,4,4,3,0,4,Germany
2018,0167-6806,77,77,59,49,3,77,Global
2018,0167-6806,2,2,2,2,1,2,Germany
2019,0167-6806,84,84,75,56,20,81,Global
2019,0167-6806,3,3,3,2,0,3,Germany
2020,0167-6806,112,112,100,86,109,112,Global
2020,0167-6806,6,6,6,3,6,6,Germany
2021,0167-6806,109,109,108,81,108,106,Global
2021,0167-6806,8,8,8,7,8,8,Germany
2022,0167-6806,78,78,77,55,77,78,Global
2022,0167-6806,2,2,2,2,2,2,Germany
2020,0167-6830,1,0,1,0,0,1,Global
2021,0167-6830,1,0,1,0,0,1,Global
2022,0167-6830,1,0,1,1,0,1,Global
2017,0167-6857,18,18,9,13,0,18,Global
2017,0167-6857,1,1,1,1,0,1,Germany
2018,0167-6857,14,14,8,7,0,14,Global
2019,0167-6857,27,27,22,18,9,27,Global
2020,0167-6857,22,22,17,12,21,22,Global
2020,0167-6857,2,2,1,1,1,2,Germany
2021,0167-6857,20,20,19,12,20,19,Global
2021,0167-6857,2,2,2,2,2,2,Germany
2022,0167-6857,11,11,10,9,10,10,Global
2022,0167-6857,4,4,4,3,3,3,Germany
2017,0167-6903,8,8,1,6,1,8,Global
2018,0167-6903,6,6,4,5,0,6,Global
2019,0167-6903,7,7,5,6,5,7,Global
2020,0167-6903,8,8,6,8,8,8,Global
2020,0167-6903,1,1,1,1,1,1,Germany
2021,0167-6903,10,10,8,9,10,10,Global
2021,0167-6903,1,1,0,1,1,1,Germany
2022,0167-6903,4,4,3,4,4,4,Global
2019,0167-6911,2,2,0,2,0,2,Global
2020,0167-6911,6,6,3,3,0,6,Global
2021,0167-6911,16,16,11,9,0,16,Global
2022,0167-6911,13,13,11,8,0,13,Global
2017,0167-6997,29,29,8,18,0,27,Global
2018,0167-6997,21,21,11,16,0,21,Global
2018,0167-6997,1,1,1,0,0,1,Germany
2019,0167-6997,31,31,15,23,5,31,Global
2019,0167-6997,1,1,1,1,0,1,Germany
2020,0167-6997,35,35,19,29,35,35,Global
2020,0167-6997,7,7,4,7,7,7,Germany
2021,0167-6997,45,45,35,24,42,42,Global
2021,0167-6997,5,5,5,3,4,4,Germany
2022,0167-6997,31,31,16,15,29,29,Global
2022,0167-6997,1,1,1,1,1,1,Germany
2017,0167-7012,9,9,1,4,0,8,Global
2017,0167-7012,1,1,0,0,0,1,Germany
2018,0167-7012,8,8,3,3,0,8,Global
2019,0167-7012,9,9,2,7,0,9,Global
2019,0167-7012,1,1,0,0,0,1,Germany
2020,0167-7012,27,27,0,16,0,27,Global
2020,0167-7012,1,1,0,1,0,1,Germany
2021,0167-7012,25,25,0,18,0,25,Global
2022,0167-7012,22,22,0,8,0,22,Global
2017,0167-7055,2,2,1,1,0,2,Global
2018,0167-7055,6,6,2,4,0,6,Global
2019,0167-7055,20,20,12,10,0,20,Global
2019,0167-7055,8,8,6,4,0,8,Germany
2020,0167-7055,41,41,26,22,0,41,Global
2020,0167-7055,32,32,21,16,0,32,Germany
2021,0167-7055,50,50,31,16,0,50,Global
2021,0167-7055,37,37,22,10,0,37,Germany
2022,0167-7055,41,41,33,16,0,41,Global
2022,0167-7055,20,20,16,10,0,20,Germany
2017,0167-7063,2,2,2,1,0,2,Global
2018,0167-7063,1,1,1,1,0,1,Global
2019,0167-7063,4,4,3,2,0,4,Global
2020,0167-7063,10,0,6,5,0,10,Global
2020,0167-7063,1,0,0,0,0,1,Germany
2021,0167-7063,4,0,3,4,0,4,Global
2021,0167-7063,1,0,1,1,0,1,Germany
2022,0167-7063,1,0,0,1,0,1,Global
2018,0167-7152,4,4,4,4,0,4,Global
2018,0167-7152,1,1,1,1,0,1,Germany
2019,0167-7152,2,2,2,1,0,2,Global
2020,0167-7152,3,3,2,1,0,3,Global
2021,0167-7152,16,16,4,14,0,16,Global
2021,0167-7152,1,1,0,1,0,1,Germany
2022,0167-7152,19,19,16,9,0,19,Global
2017,0167-7187,4,4,3,2,0,4,Global
2019,0167-7187,3,3,1,0,0,3,Global
2020,0167-7187,5,5,3,3,0,5,Global
2021,0167-7187,4,4,1,0,0,4,Global
2022,0167-7187,8,8,1,3,0,8,Global
2018,0167-7322,6,6,5,5,0,6,Global
2018,0167-7322,1,1,1,0,0,1,Germany
2019,0167-7322,16,16,1,12,0,16,Global
2019,0167-7322,2,2,1,2,0,2,Germany
2020,0167-7322,68,68,1,54,0,68,Global
2020,0167-7322,1,1,0,1,0,1,Germany
2021,0167-7322,94,94,21,76,0,94,Global
2021,0167-7322,3,3,1,2,0,3,Germany
2022,0167-7322,157,157,24,79,0,157,Global
2022,0167-7322,4,4,2,2,0,4,Germany
2017,0167-739X,7,7,4,7,0,7,Global
2018,0167-739X,17,17,9,16,0,17,Global
2018,0167-739X,2,2,2,2,0,2,Germany
2019,0167-739X,21,21,11,20,0,21,Global
2019,0167-739X,2,2,0,2,0,2,Germany
2020,0167-739X,24,24,3,23,0,24,Global
2021,0167-739X,24,24,15,21,0,24,Global
2022,0167-739X,46,46,46,16,0,46,Global
2022,0167-739X,1,1,1,0,0,1,Germany
2017,0167-7411,14,14,7,4,0,14,Global
2017,0167-7411,3,3,2,0,0,3,Germany
2018,0167-7411,29,29,21,10,9,28,Global
2018,0167-7411,1,1,0,0,0,1,Germany
2019,0167-7411,11,11,9,5,7,11,Global
2020,0167-7411,16,16,14,9,16,15,Global
2020,0167-7411,2,2,2,2,2,2,Germany
2021,0167-7411,25,25,23,19,24,25,Global
2021,0167-7411,6,6,4,6,5,6,Germany
2022,0167-7411,18,18,15,15,17,18,Global
2022,0167-7411,4,4,4,4,4,4,Germany
2017,0167-7659,14,14,0,4,1,14,Global
2018,0167-7659,4,4,0,2,0,4,Global
2019,0167-7659,9,9,0,4,2,9,Global
2019,0167-7659,2,2,0,1,1,2,Germany
2020,0167-7659,32,32,11,26,32,32,Global
2020,0167-7659,6,6,3,4,6,6,Germany
2021,0167-7659,28,28,20,20,28,28,Global
2022,0167-7659,15,15,10,9,12,14,Global
