cr_year,issn_l,article_total,tdm_total,orcid_total,funder_total,abstract_total,ref_total,cat
2020,0001-8686,5,5,0,2,0,5,Global
2021,0001-8686,12,12,0,8,0,12,Global
2022,0001-8686,27,27,1,10,0,27,Global
2022,0001-8686,1,1,0,0,0,1,Germany
2017,0001-8708,14,14,4,13,0,14,Global
2017,0001-8708,1,1,0,1,0,1,Germany
2018,0001-8708,8,8,1,5,0,8,Global
2018,0001-8708,1,1,0,1,0,1,Germany
2019,0001-8708,6,6,0,6,0,6,Global
2020,0001-8708,8,8,0,8,0,8,Global
2021,0001-8708,37,37,0,31,0,37,Global
2021,0001-8708,3,3,0,3,0,3,Germany
2022,0001-8708,72,72,0,36,0,72,Global
2022,0001-8708,1,1,0,0,0,1,Germany
2017,0001-9054,11,11,3,2,0,11,Global
2018,0001-9054,32,32,16,7,0,32,Global
2019,0001-9054,23,23,16,20,5,23,Global
2020,0001-9054,25,25,21,24,25,25,Global
2021,0001-9054,30,30,26,14,30,30,Global
2021,0001-9054,1,1,1,1,1,1,Germany
2022,0001-9054,17,17,15,10,17,17,Global
2022,0001-9054,1,1,1,0,1,1,Germany
2017,0001-9240,1,0,0,0,1,1,Global
2019,0001-9240,13,0,7,0,12,13,Global
2019,0001-9240,2,0,2,0,2,2,Germany
2020,0001-9240,10,0,10,0,10,10,Global
2020,0001-9240,2,0,2,0,2,2,Germany
2021,0001-9240,23,0,23,0,23,23,Global
2022,0001-9240,27,0,26,0,26,27,Global
2022,0001-9240,1,0,1,0,1,1,Germany
2018,0001-9720,3,0,0,0,3,3,Global
2020,0001-9720,7,0,0,0,7,7,Global
2020,0001-9720,1,0,0,0,1,1,Germany
2021,0001-9720,17,0,0,0,16,17,Global
2022,0001-9720,13,0,0,0,13,13,Global
2022,0001-9720,1,0,0,0,1,1,Germany
2018,0001-9909,1,0,0,0,0,0,Global
2019,0001-9909,5,0,2,0,4,0,Global
2020,0001-9909,2,0,2,2,2,0,Global
2021,0001-9909,6,0,4,5,6,0,Global
2022,0001-9909,10,0,7,8,9,0,Global
2018,0002-0184,4,4,4,2,0,4,Global
2020,0002-0184,1,0,0,0,0,1,Global
2021,0002-0184,1,0,0,0,0,1,Global
2022,0002-0184,2,0,0,0,0,2,Global
2019,0002-0206,4,0,3,0,4,4,Global
2020,0002-0206,3,0,3,0,3,3,Global
2021,0002-0206,12,0,10,0,11,12,Global
2022,0002-0206,15,0,14,4,13,13,Global
2017,0002-0729,15,0,5,11,1,12,Global
2018,0002-0729,29,0,17,26,3,29,Global
2019,0002-0729,41,0,18,34,28,40,Global
2019,0002-0729,2,0,1,2,1,2,Germany
2020,0002-0729,55,0,9,44,53,54,Global
2020,0002-0729,1,0,0,0,1,1,Germany
2021,0002-0729,78,0,17,63,74,78,Global
2021,0002-0729,3,0,1,2,3,3,Germany
2022,0002-0729,84,0,36,61,82,82,Global
2017,0002-5240,2,2,0,0,0,2,Global
2018,0002-5240,7,7,1,4,0,7,Global
2019,0002-5240,8,8,0,8,1,8,Global
2020,0002-5240,12,12,1,12,12,12,Global
2020,0002-5240,2,2,0,2,2,2,Germany
2021,0002-5240,13,13,1,8,13,13,Global
2021,0002-5240,3,3,1,2,3,3,Germany
2022,0002-5240,3,3,0,3,3,3,Global
2022,0002-5240,2,2,0,2,2,2,Germany
2017,0002-6980,2,2,0,1,0,0,Global
2019,0002-6980,1,1,1,1,0,0,Global
2020,0002-6980,6,0,3,2,0,0,Global
2021,0002-6980,1,0,0,0,0,0,Global
2022,0002-6980,3,0,2,2,0,0,Global
2020,0002-7162,9,9,0,0,9,9,Global
2021,0002-7162,12,12,0,3,12,12,Global
2022,0002-7162,4,4,0,1,4,4,Global
2021,0002-7189,6,0,2,0,4,5,Global
2017,0002-7294,2,2,1,1,0,2,Global
2018,0002-7294,2,2,1,2,0,2,Global
2019,0002-7294,6,6,2,4,0,6,Global
2019,0002-7294,1,1,0,1,0,1,Germany
2020,0002-7294,9,9,3,1,0,9,Global
2020,0002-7294,2,2,1,0,0,2,Germany
2021,0002-7294,11,11,6,4,0,10,Global
2021,0002-7294,2,2,2,2,0,2,Germany
2022,0002-7294,16,16,10,3,0,16,Global
2022,0002-7294,1,1,1,0,0,1,Germany
2017,0002-7316,4,0,0,0,4,4,Global
2018,0002-7316,1,0,0,0,1,1,Global
2019,0002-7316,2,0,2,0,2,2,Global
2020,0002-7316,9,0,8,0,8,9,Global
2021,0002-7316,28,0,25,0,25,28,Global
2021,0002-7316,1,0,1,0,1,1,Germany
2022,0002-7316,12,0,10,0,11,12,Global
2022,0002-7316,1,0,1,0,1,1,Germany
2018,0002-7642,1,1,0,0,1,1,Global
2019,0002-7642,3,3,1,3,3,3,Global
2019,0002-7642,2,2,1,2,2,2,Germany
2020,0002-7642,7,7,1,2,7,7,Global
2020,0002-7642,1,1,1,0,1,1,Germany
2021,0002-7642,48,48,20,9,48,45,Global
2021,0002-7642,2,2,2,1,2,2,Germany
2022,0002-7642,20,20,8,6,20,20,Global
2022,0002-7642,3,3,1,1,3,3,Germany
2021,0002-7766,1,1,0,0,0,0,Global
2022,0002-7766,4,4,0,0,0,0,Global
2017,0002-7820,11,11,6,10,0,11,Global
2017,0002-7820,1,1,1,1,0,1,Germany
2018,0002-7820,10,10,10,8,0,10,Global
2018,0002-7820,1,1,1,1,0,1,Germany
2019,0002-7820,20,20,20,15,0,20,Global
2019,0002-7820,10,10,10,9,0,10,Germany
2020,0002-7820,37,37,37,28,0,37,Global
2020,0002-7820,23,23,23,16,0,23,Germany
2021,0002-7820,67,67,66,39,0,67,Global
2021,0002-7820,37,37,36,24,0,37,Germany
2022,0002-7820,72,72,63,28,0,72,Global
2022,0002-7820,20,20,18,9,0,20,Germany
2019,0002-7863,3,0,3,2,0,2,Global
2019,0002-7863,1,0,1,1,0,1,Germany
2020,0002-7863,20,0,20,16,0,19,Global
2020,0002-7863,1,0,1,1,0,1,Germany
2021,0002-7863,346,0,346,334,0,345,Global
2021,0002-7863,71,0,71,70,0,71,Germany
2022,0002-7863,382,0,381,372,0,379,Global
2022,0002-7863,58,0,58,56,0,58,Germany
2019,0002-8312,2,2,0,2,2,2,Global
2019,0002-8312,1,1,0,1,1,1,Germany
2020,0002-8312,2,2,2,1,2,2,Global
2022,0002-8312,1,1,1,1,1,1,Global
2018,0002-8487,5,5,1,5,0,5,Global
2019,0002-8487,11,11,1,9,0,11,Global
2020,0002-8487,1,1,1,1,0,1,Global
2021,0002-8487,8,8,4,5,0,8,Global
2022,0002-8487,10,10,8,9,0,10,Global
2017,0002-8614,15,15,2,14,0,15,Global
2018,0002-8614,17,17,9,13,0,17,Global
2019,0002-8614,15,15,9,7,0,15,Global
2020,0002-8614,27,27,18,15,0,26,Global
2020,0002-8614,3,3,2,1,0,3,Germany
2021,0002-8614,37,37,28,16,0,37,Global
2021,0002-8614,2,2,1,1,0,2,Germany
2022,0002-8614,74,74,64,50,0,73,Global
2022,0002-8614,2,2,1,0,0,2,Germany
2017,0002-9092,4,4,0,2,0,4,Global
2018,0002-9092,10,10,0,10,0,10,Global
2019,0002-9092,8,8,0,7,0,8,Global
2019,0002-9092,1,1,0,1,0,1,Germany
2020,0002-9092,21,21,1,3,0,19,Global
2020,0002-9092,1,1,0,0,0,0,Germany
2021,0002-9092,18,18,2,2,0,18,Global
2021,0002-9092,2,2,0,1,0,2,Germany
2022,0002-9092,22,22,3,6,0,21,Global
2022,0002-9092,4,4,2,3,0,4,Germany
2018,0002-9122,27,27,8,23,0,27,Global
2018,0002-9122,1,1,1,0,0,1,Germany
2019,0002-9122,18,18,16,17,0,18,Global
2019,0002-9122,1,1,1,1,0,1,Germany
2020,0002-9122,31,31,28,25,0,31,Global
2020,0002-9122,3,3,3,3,0,3,Germany
2021,0002-9122,50,50,45,16,0,50,Global
2021,0002-9122,7,7,6,1,0,7,Germany
2022,0002-9122,43,43,43,0,0,43,Global
2022,0002-9122,2,2,2,0,0,2,Germany
2017,0002-9157,1,1,0,0,0,1,Global
2018,0002-9157,1,1,0,0,0,1,Global
2021,0002-9157,1,0,1,0,0,1,Global
2022,0002-9157,2,0,1,0,0,2,Global
2018,0002-9165,35,0,9,18,22,35,Global
2018,0002-9165,4,0,2,2,3,4,Germany
2019,0002-9165,68,0,59,57,58,68,Global
2019,0002-9165,2,0,2,1,2,2,Germany
2020,0002-9165,59,0,42,51,55,59,Global
2021,0002-9165,123,0,114,112,116,123,Global
2021,0002-9165,1,0,1,1,1,1,Germany
2022,0002-9165,52,0,45,47,48,51,Global
2017,0002-9173,2,0,0,2,1,2,Global
2018,0002-9173,10,0,2,7,3,10,Global
2019,0002-9173,5,0,1,1,4,5,Global
2020,0002-9173,7,0,3,2,6,6,Global
2021,0002-9173,13,0,8,7,11,13,Global
2022,0002-9173,4,0,2,3,4,4,Global
