issn_l,cr_year,cc,cc_total,jn_all,prop
0001-0782,2017,NA,0,281,0
0001-0782,2018,NA,0,302,0
0001-0782,2019,NA,0,280,0
0001-0782,2020,NA,0,268,0
0001-0782,2021,NA,0,318,0
0001-0782,2022,NA,0,242,0
0001-1541,2017,CC BY,4,454,0.00881057268722467
0001-1541,2017,CC BY-NC,4,454,0.00881057268722467
0001-1541,2018,CC BY,7,342,0.02046783625730994
0001-1541,2018,CC BY-NC-ND,2,342,0.005847953216374269
0001-1541,2018,CC BY-NC,8,342,0.023391812865497075
0001-1541,2019,CC BY-NC-ND,1,360,0.002777777777777778
0001-1541,2019,CC BY,14,360,0.03888888888888889
0001-1541,2019,CC BY-NC,8,360,0.022222222222222223
0001-1541,2020,CC BY-NC,3,323,0.009287925696594427
0001-1541,2020,CC BY,25,323,0.07739938080495357
0001-1541,2020,CC BY-NC-ND,2,323,0.006191950464396285
0001-1541,2021,CC BY-NC-ND,13,403,0.03225806451612903
0001-1541,2021,CC BY,29,403,0.07196029776674938
0001-1541,2021,CC BY-NC,6,403,0.01488833746898263
0001-1541,2022,CC BY,32,351,0.09116809116809117
0001-1541,2022,CC BY-NC-ND,11,351,0.03133903133903134
0001-1541,2022,CC BY-NC,7,351,0.019943019943019943
0001-2092,2017,CC BY-NC-ND,1,271,0.0036900369003690036
0001-2092,2018,CC BY-NC-ND,1,298,0.003355704697986577
0001-2092,2019,NA,0,305,0
0001-2092,2020,NA,0,329,0
0001-2092,2021,NA,0,268,0
0001-2092,2022,NA,0,189,0
0001-2785,2017,NA,0,207,0
0001-2785,2018,NA,0,215,0
0001-2785,2019,NA,0,207,0
0001-2785,2020,NA,0,187,0
0001-2785,2021,NA,0,176,0
0001-2785,2022,NA,0,102,0
0001-2998,2017,CC BY-NC-ND,1,60,0.016666666666666666
0001-2998,2018,CC BY-NC-ND,2,54,0.037037037037037035
0001-2998,2019,CC BY-NC-ND,3,60,0.05
0001-2998,2020,CC BY,1,59,0.01694915254237288
0001-2998,2020,CC BY-NC-ND,2,59,0.03389830508474576
0001-2998,2021,CC BY-NC-ND,1,60,0.016666666666666666
0001-2998,2021,CC BY,4,60,0.06666666666666667
0001-2998,2022,CC BY,13,87,0.14942528735632185
0001-2998,2022,CC BY-NC-ND,4,87,0.04597701149425287
0001-3072,2017,NA,0,25,0
0001-3072,2018,NA,0,16,0
0001-3072,2019,CC BY-NC,1,32,0.03125
0001-3072,2019,CC BY,2,32,0.0625
0001-3072,2020,CC BY-NC-ND,1,25,0.04
0001-3072,2020,CC BY,3,25,0.12
0001-3072,2020,CC BY-NC,1,25,0.04
0001-3072,2021,CC BY,1,33,0.030303030303030304
0001-3072,2021,CC BY-NC-ND,3,33,0.09090909090909091
0001-3072,2022,CC BY-NC-ND,1,15,0.06666666666666667
0001-3072,2022,CC BY,1,15,0.06666666666666667
0001-3072,2022,CC BY-NC,1,15,0.06666666666666667
0001-3455,2017,NA,0,25,0
0001-3455,2018,NA,0,21,0
0001-3455,2019,NA,0,24,0
0001-3455,2020,NA,0,27,0
0001-3455,2021,NA,0,22,0
0001-3455,2022,NA,0,23,0
0001-4338,2017,NA,0,115,0
0001-4338,2018,NA,0,166,0
0001-4338,2019,NA,0,176,0
0001-4338,2020,NA,0,157,0
0001-4338,2021,CC BY,2,165,0.012121212121212121
0001-4338,2022,NA,0,44,0
0001-4346,2017,NA,0,206,0
0001-4346,2018,NA,0,214,0
0001-4346,2019,NA,0,210,0
0001-4346,2020,NA,0,220,0
0001-4346,2021,NA,0,217,0
0001-4346,2022,NA,0,150,0
0001-4370,2017,NA,0,101,0
0001-4370,2018,NA,0,103,0
0001-4370,2019,NA,0,122,0
0001-4370,2020,NA,0,96,0
0001-4370,2021,CC BY,4,110,0.03636363636363636
0001-4370,2022,NA,0,66,0
0001-4575,2017,CC BY,8,341,0.02346041055718475
0001-4575,2017,CC BY-NC-ND,4,341,0.011730205278592375
0001-4575,2018,CC BY-NC-ND,9,330,0.02727272727272727
0001-4575,2018,CC BY,5,330,0.015151515151515152
0001-4575,2019,CC BY,4,373,0.010723860589812333
0001-4575,2019,CC BY-NC-ND,14,373,0.03753351206434316
0001-4575,2020,CC BY,15,387,0.03875968992248062
0001-4575,2020,CC BY-NC-ND,11,387,0.028423772609819122
0001-4575,2021,CC BY-NC-ND,9,471,0.01910828025477707
0001-4575,2021,CC BY,39,471,0.08280254777070063
0001-4575,2022,CC BY,21,232,0.09051724137931035
0001-4575,2022,CC BY-NC-ND,5,232,0.021551724137931036
0001-4788,2017,CC BY-NC-ND,3,37,0.08108108108108109
0001-4788,2018,CC BY-NC-ND,4,36,0.1111111111111111
0001-4788,2019,CC BY-NC-ND,3,28,0.10714285714285714
0001-4788,2019,CC BY,4,28,0.14285714285714285
0001-4788,2020,CC BY,3,49,0.061224489795918366
0001-4788,2020,CC BY-NC-ND,9,49,0.1836734693877551
0001-4788,2021,CC BY-NC-ND,12,43,0.27906976744186046
0001-4788,2021,CC BY,7,43,0.16279069767441862
0001-4788,2022,CC BY,5,36,0.1388888888888889
0001-4788,2022,CC BY-NC-ND,5,36,0.1388888888888889
0001-4842,2017,NA,0,358,0
0001-4842,2018,NA,0,363,0
0001-4842,2019,NA,0,351,0
0001-4842,2020,CC BY,1,301,0.0033222591362126247
0001-4842,2020,CC BY-NC-ND,3,301,0.009966777408637873
0001-4842,2021,CC BY,19,414,0.04589371980676329
0001-4842,2021,CC BY-NC-ND,27,414,0.06521739130434782
0001-4842,2022,CC BY,32,266,0.12030075187969924
0001-4842,2022,CC BY-NC-ND,16,266,0.06015037593984962
0001-4966,2017,CC BY,2,4043,4.946821667078902e-4
0001-4966,2018,NA,0,3055,0
0001-4966,2019,NA,0,3128,0
0001-4966,2020,NA,0,1968,0
0001-4966,2021,NA,0,2338,0
0001-4966,2022,NA,0,1357,0
0001-5172,2017,CC BY-NC-ND,6,196,0.030612244897959183
0001-5172,2017,CC BY-NC,4,196,0.02040816326530612
0001-5172,2018,CC BY-NC-ND,3,244,0.012295081967213115
0001-5172,2018,CC BY,1,244,0.004098360655737705
0001-5172,2018,CC BY-NC,8,244,0.03278688524590164
0001-5172,2019,CC BY-NC,6,215,0.027906976744186046
