issn_l,cr_year,cc,cc_total,jn_all,prop
0001-5172,2019,CC BY-NC-ND,10,215,0.046511627906976744
0001-5172,2019,CC BY,5,215,0.023255813953488372
0001-5172,2020,CC BY-NC,3,218,0.013761467889908258
0001-5172,2020,CC BY-NC-ND,19,218,0.0871559633027523
0001-5172,2020,CC BY,28,218,0.12844036697247707
0001-5172,2021,CC BY-NC-ND,21,184,0.11413043478260869
0001-5172,2021,CC BY,25,184,0.1358695652173913
0001-5172,2021,CC BY-NC,12,184,0.06521739130434782
0001-5172,2022,CC BY,31,119,0.2605042016806723
0001-5172,2022,CC BY-NC,8,119,0.06722689075630252
0001-5172,2022,CC BY-NC-ND,24,119,0.20168067226890757
0001-5342,2017,CC BY,1,12,0.08333333333333333
0001-5342,2018,CC BY,2,26,0.07692307692307693
0001-5342,2019,CC BY,4,32,0.125
0001-5342,2020,CC BY,4,29,0.13793103448275862
0001-5342,2021,CC BY,4,31,0.12903225806451613
0001-5342,2022,CC BY,2,17,0.11764705882352941
0001-5385,2017,NA,0,209,0
0001-5385,2018,CC BY-NC-ND,1,82,0.012195121951219513
0001-5385,2019,NA,0,158,0
0001-5385,2020,CC BY-NC-ND,1,159,0.006289308176100629
0001-5385,2020,CC BY,2,159,0.012578616352201259
0001-5385,2021,CC BY-NC-ND,3,150,0.02
0001-5385,2021,CC BY,1,150,0.006666666666666667
0001-5385,2022,CC BY-NC-ND,3,90,0.03333333333333333
0001-5458,2017,CC BY,1,95,0.010526315789473684
0001-5458,2018,CC BY,1,96,0.010416666666666666
0001-5458,2019,NA,0,103,0
0001-5458,2020,CC BY-NC-ND,1,72,0.013888888888888888
0001-5458,2021,CC BY,1,94,0.010638297872340425
0001-5458,2021,CC BY-NC-ND,4,94,0.0425531914893617
0001-5458,2022,CC BY-NC-ND,5,67,0.07462686567164178
0001-5547,2017,NA,0,69,0
0001-5547,2018,CC BY-NC-ND,3,71,0.04225352112676056
0001-5547,2019,CC BY-NC-ND,1,98,0.01020408163265306
0001-5547,2020,CC BY-NC,4,71,0.056338028169014086
0001-5547,2020,CC BY-NC-ND,3,71,0.04225352112676056
0001-5547,2021,CC BY-NC,10,70,0.14285714285714285
0001-5547,2022,CC BY-NC,5,41,0.12195121951219512
0001-5792,2017,CC BY-NC-ND,2,73,0.0273972602739726
0001-5792,2018,NA,0,107,0
0001-5792,2019,CC BY-NC-ND,3,138,0.021739130434782608
0001-5792,2020,CC BY-NC,3,113,0.02654867256637168
0001-5792,2021,CC BY-NC,12,81,0.14814814814814814
0001-5792,2022,CC BY-NC-ND,1,49,0.02040816326530612
0001-5792,2022,CC BY,1,49,0.02040816326530612
0001-5792,2022,CC BY-NC,9,49,0.1836734693877551
0001-5903,2017,CC BY,1,20,0.05
0001-5903,2018,CC BY,1,20,0.05
0001-5903,2019,CC BY,6,29,0.20689655172413793
0001-5903,2020,CC BY,11,27,0.4074074074074074
0001-5903,2021,CC BY,15,24,0.625
0001-5903,2022,CC BY,11,23,0.4782608695652174
0001-5954,2017,NA,0,99,0
0001-5954,2018,NA,0,114,0
0001-5954,2019,NA,0,115,0
0001-5954,2020,NA,0,92,0
0001-5954,2021,NA,0,84,0
0001-5954,2022,NA,0,65,0
0001-5970,2017,CC BY,16,302,0.052980132450331126
0001-5970,2018,CC BY,12,252,0.047619047619047616
0001-5970,2019,CC BY,18,244,0.07377049180327869
0001-5970,2020,CC BY,34,281,0.12099644128113879
0001-5970,2021,CC BY,39,228,0.17105263157894737
0001-5970,2022,CC BY,38,247,0.15384615384615385
0001-6268,2017,CC BY,42,385,0.10909090909090909
0001-6268,2018,CC BY,33,332,0.09939759036144578
0001-6268,2019,CC BY,54,407,0.13267813267813267
0001-6268,2020,CC BY,113,471,0.23991507430997877
0001-6268,2021,CC BY,122,414,0.2946859903381642
0001-6268,2022,CC BY,82,291,0.281786941580756
0001-6314,2017,CC BY-NC,4,149,0.026845637583892617
0001-6314,2017,CC BY,1,149,0.006711409395973154
0001-6314,2018,CC BY-NC,2,147,0.013605442176870748
0001-6314,2018,CC BY-NC-ND,2,147,0.013605442176870748
0001-6314,2018,CC BY,2,147,0.013605442176870748
0001-6314,2019,CC BY-NC-ND,4,130,0.03076923076923077
0001-6314,2019,CC BY,1,130,0.007692307692307693
0001-6314,2019,CC BY-NC,3,130,0.023076923076923078
0001-6314,2020,CC BY-NC-ND,12,172,0.06976744186046512
0001-6314,2020,CC BY-NC,29,172,0.1686046511627907
0001-6314,2020,CC BY,1,172,0.005813953488372093
0001-6314,2021,CC BY-NC,16,172,0.09302325581395349
0001-6314,2021,CC BY-NC-ND,19,172,0.11046511627906977
0001-6314,2022,CC BY-NC,22,126,0.1746031746031746
0001-6314,2022,CC BY-NC-ND,26,126,0.20634920634920634
0001-6322,2017,CC BY,43,133,0.3233082706766917
0001-6322,2018,CC BY,64,149,0.42953020134228187
0001-6322,2019,CC BY,59,159,0.3710691823899371
0001-6322,2020,CC BY,72,134,0.5373134328358209
0001-6322,2021,CC BY,92,147,0.6258503401360545
0001-6322,2022,CC BY,70,105,0.6666666666666666
0001-6349,2017,CC BY-NC-ND,4,205,0.01951219512195122
0001-6349,2017,CC BY,2,205,0.00975609756097561
0001-6349,2017,CC BY-NC,6,205,0.02926829268292683
0001-6349,2018,CC BY,2,224,0.008928571428571428
0001-6349,2018,CC BY-NC,9,224,0.04017857142857143
0001-6349,2018,CC BY-NC-ND,2,224,0.008928571428571428
0001-6349,2019,CC BY-NC-ND,7,250,0.028
0001-6349,2019,CC BY-NC,6,250,0.024
0001-6349,2019,CC BY,14,250,0.056
0001-6349,2020,CC BY,16,256,0.0625
0001-6349,2020,CC BY-NC,21,256,0.08203125
0001-6349,2020,CC BY-NC-ND,29,256,0.11328125
0001-6349,2021,CC BY-NC,55,239,0.2301255230125523
0001-6349,2021,CC BY,5,239,0.02092050209205021
0001-6349,2021,CC BY-NC-ND,65,239,0.2719665271966527
0001-6349,2022,CC BY-NC-ND,63,137,0.45985401459854014
0001-6349,2022,CC BY,22,137,0.16058394160583941
0001-6349,2022,CC BY-NC,50,137,0.36496350364963503
0001-6357,2017,CC BY-NC-ND,3,114,0.02631578947368421
0001-6357,2018,CC BY-NC-ND,1,78,0.01282051282051282
0001-6357,2019,CC BY-NC-ND,20,109,0.1834862385321101
0001-6357,2019,CC BY,2,109,0.01834862385321101
0001-6357,2020,CC BY-NC-ND,27,91,0.2967032967032967
0001-6357,2020,CC BY,2,91,0.02197802197802198
0001-6357,2021,CC BY,6,85,0.07058823529411765
0001-6357,2021,CC BY-NC-ND,35,85,0.4117647058823529
0001-6357,2022,CC BY-NC-ND,35,64,0.546875
0001-6357,2022,CC BY,2,64,0.03125
0001-6489,2017,CC BY-NC-ND,6,192,0.03125
0001-6489,2018,CC BY-NC-ND,3,128,0.0234375
0001-6489,2019,CC BY-NC-ND,6,227,0.02643171806167401
0001-6489,2019,CC BY,1,227,0.004405286343612335
0001-6489,2020,CC BY-NC-ND,16,204,0.0784313725490196
0001-6489,2021,CC BY,2,158,0.012658227848101266
0001-6489,2021,CC BY-NC-ND,22,158,0.13924050632911392
0001-6489,2022,CC BY-NC-ND,15,96,0.15625
0001-6489,2022,CC BY,2,96,0.020833333333333332
0001-6519,2017,NA,0,75,0
0001-6519,2018,NA,0,66,0
0001-6519,2019,NA,0,63,0
0001-6519,2020,NA,0,73,0
0001-6519,2021,NA,0,79,0
0001-6519,2022,NA,0,82,0
0001-6810,2017,CC BY,2,47,0.0425531914893617
0001-6810,2018,CC BY,4,51,0.0784313725490196
0001-6810,2019,CC BY,2,16,0.125
0001-6810,2020,CC BY,9,39,0.23076923076923078
0001-6810,2021,CC BY,11,41,0.2682926829268293
0001-6810,2022,CC BY,10,33,0.30303030303030304
0001-690X,2017,CC BY,4,139,0.02877697841726619
0001-690X,2017,CC BY-NC,5,139,0.03597122302158273
0001-690X,2017,CC BY-NC-ND,2,139,0.014388489208633094
0001-690X,2018,CC BY,5,129,0.03875968992248062
0001-690X,2018,CC BY-NC,5,129,0.03875968992248062
0001-690X,2018,CC BY-NC-ND,4,129,0.031007751937984496
0001-690X,2019,CC BY-NC,1,132,0.007575757575757576
0001-690X,2019,CC BY-NC-ND,3,132,0.022727272727272728
0001-690X,2019,CC BY,11,132,0.08333333333333333
0001-690X,2020,CC BY-NC-ND,11,110,0.1
0001-690X,2020,CC BY,17,110,0.15454545454545454
0001-690X,2020,CC BY-NC,3,110,0.02727272727272727
0001-690X,2021,CC BY,17,117,0.1452991452991453
0001-690X,2021,CC BY-NC-ND,9,117,0.07692307692307693
0001-690X,2021,CC BY-NC,11,117,0.09401709401709402
0001-690X,2022,CC BY,25,103,0.24271844660194175
0001-690X,2022,CC BY-NC,7,103,0.06796116504854369
0001-690X,2022,CC BY-NC-ND,20,103,0.1941747572815534
0001-6969,2017,NA,0,41,0
0001-6969,2018,NA,0,37,0
0001-6969,2019,NA,0,41,0
0001-6969,2020,NA,0,38,0
0001-6969,2021,NA,0,35,0
0001-6969,2022,CC BY,8,20,0.4
0001-6993,2017,NA,0,38,0
0001-6993,2018,CC BY-NC,1,43,0.023255813953488372
0001-6993,2019,CC BY,2,31,0.06451612903225806
0001-6993,2019,CC BY-NC,7,31,0.22580645161290322
0001-6993,2020,CC BY,10,44,0.22727272727272727
0001-6993,2020,CC BY-NC,3,44,0.06818181818181818
0001-6993,2021,CC BY,14,35,0.4
0001-6993,2021,CC BY-NC,1,35,0.02857142857142857
0001-6993,2022,CC BY,11,26,0.4230769230769231
0001-6993,2022,CC BY-NC,1,26,0.038461538461538464
0001-706X,2017,CC BY-NC-ND,12,406,0.029556650246305417
0001-706X,2017,CC BY,9,406,0.022167487684729065
0001-706X,2018,CC BY,6,345,0.017391304347826087
0001-706X,2018,CC BY-NC-ND,12,345,0.034782608695652174
0001-706X,2019,CC BY,4,368,0.010869565217391304
0001-706X,2019,CC BY-NC-ND,15,368,0.04076086956521739
0001-706X,2020,CC BY-NC-ND,12,402,0.029850746268656716
0001-706X,2020,CC BY,11,402,0.02736318407960199
0001-706X,2021,CC BY,16,343,0.04664723032069971
0001-706X,2021,CC BY-NC-ND,17,343,0.04956268221574344
0001-706X,2022,CC BY-NC-ND,25,407,0.06142506142506143
0001-706X,2022,CC BY,21,407,0.051597051597051594
0001-7701,2017,CC BY,6,154,0.03896103896103896
0001-7701,2018,CC BY,10,156,0.0641025641025641
0001-7701,2019,CC BY,4,161,0.024844720496894408
0001-7701,2020,CC BY,17,114,0.14912280701754385
0001-7701,2021,CC BY,13,115,0.11304347826086956
0001-7701,2022,CC BY,24,113,0.21238938053097345
0001-7868,2017,NA,0,154,0
0001-7868,2018,NA,0,119,0
0001-7868,2019,CC BY-NC-ND,1,140,0.007142857142857143
0001-7868,2020,NA,0,129,0
0001-7868,2021,NA,0,135,0
0001-7868,2022,NA,0,92,0
0001-8244,2017,CC BY,13,52,0.25
0001-8244,2018,CC BY,13,55,0.23636363636363636
0001-8244,2019,CC BY,13,46,0.2826086956521739
0001-8244,2020,CC BY,10,43,0.23255813953488372
0001-8244,2021,CC BY,13,63,0.20634920634920634
0001-8244,2022,CC BY,9,20,0.45
0001-8392,2017,CC BY-NC,2,54,0.037037037037037035
0001-8392,2018,NA,0,49,0
0001-8392,2019,CC BY-NC,2,37,0.05405405405405406
0001-8392,2020,CC BY-NC,7,45,0.15555555555555556
0001-8392,2020,CC BY,2,45,0.044444444444444446
0001-8392,2021,CC BY-NC,7,37,0.1891891891891892
0001-8392,2021,CC BY,2,37,0.05405405405405406
0001-8392,2022,CC BY-NC,2,43,0.046511627906976744
0001-8392,2022,CC BY,1,43,0.023255813953488372
0001-8686,2017,CC BY-NC-ND,1,176,0.005681818181818182
0001-8686,2017,CC BY,2,176,0.011363636363636364
0001-8686,2018,CC BY,5,87,0.05747126436781609
0001-8686,2018,CC BY-NC-ND,1,87,0.011494252873563218
0001-8686,2019,CC BY-NC-ND,2,104,0.019230769230769232
0001-8686,2019,CC BY,3,104,0.028846153846153848
0001-8686,2020,CC BY-NC-ND,5,167,0.029940119760479042
0001-8686,2021,CC BY-NC-ND,3,153,0.0196078431372549
0001-8686,2021,CC BY,9,153,0.058823529411764705
0001-8686,2022,CC BY,18,151,0.11920529801324503
0001-8686,2022,CC BY-NC-ND,9,151,0.059602649006622516
0001-8708,2017,CC BY-NC-ND,1,481,0.002079002079002079
0001-8708,2017,CC BY,13,481,0.02702702702702703
0001-8708,2018,CC BY-NC-ND,2,391,0.005115089514066497
0001-8708,2018,CC BY,6,391,0.015345268542199489
0001-8708,2019,CC BY,6,395,0.015189873417721518
0001-8708,2020,CC BY-NC-ND,2,394,0.005076142131979695
0001-8708,2020,CC BY,6,394,0.015228426395939087
0001-8708,2021,CC BY,28,464,0.0603448275862069
0001-8708,2021,CC BY-NC-ND,9,464,0.01939655172413793
0001-8708,2022,CC BY,55,464,0.11853448275862069
0001-8708,2022,CC BY-NC-ND,17,464,0.036637931034482756
0001-8732,2017,NA,0,4,0
0001-8732,2018,NA,0,4,0
0001-8732,2019,NA,0,4,0
0001-8732,2020,NA,0,4,0
0001-8732,2021,NA,0,2,0
0001-8732,2022,NA,0,1,0
0001-9054,2017,CC BY,11,71,0.15492957746478872
0001-9054,2018,CC BY,32,97,0.32989690721649484
0001-9054,2019,CC BY,23,74,0.3108108108108108
0001-9054,2020,CC BY,25,68,0.36764705882352944
0001-9054,2021,CC BY,30,93,0.3225806451612903
0001-9054,2022,CC BY,17,53,0.32075471698113206
0001-9240,2017,CC BY-NC-ND,1,149,0.006711409395973154
0001-9240,2018,NA,0,141,0
0001-9240,2019,CC BY,13,167,0.07784431137724551
0001-9240,2020,CC BY,9,143,0.06293706293706294
0001-9240,2020,CC BY-NC-SA,1,143,0.006993006993006993
0001-9240,2021,CC BY,20,129,0.15503875968992248
0001-9240,2021,CC BY-NC-SA,1,129,0.007751937984496124
0001-9240,2021,CC BY-NC-ND,2,129,0.015503875968992248
0001-9240,2022,CC BY,27,84,0.32142857142857145
0001-9720,2017,NA,0,103,0
0001-9720,2018,CC BY,3,97,0.030927835051546393
0001-9720,2019,NA,0,95,0
0001-9720,2020,CC BY,5,106,0.04716981132075472
0001-9720,2020,CC BY-NC-ND,2,106,0.018867924528301886
0001-9720,2021,CC BY,12,97,0.12371134020618557
0001-9720,2021,CC BY-NC-ND,4,97,0.041237113402061855
0001-9720,2021,CC BY-NC-SA,1,97,0.010309278350515464
0001-9720,2022,CC BY-NC-SA,1,65,0.015384615384615385
0001-9720,2022,CC BY-NC-ND,1,65,0.015384615384615385
0001-9720,2022,CC BY,11,65,0.16923076923076924
0001-9909,2017,NA,0,45,0
0001-9909,2018,CC BY,1,70,0.014285714285714285
0001-9909,2019,CC BY,4,32,0.125
0001-9909,2019,CC BY-NC,1,32,0.03125
0001-9909,2020,CC BY,1,29,0.034482758620689655
0001-9909,2020,CC BY-NC,1,29,0.034482758620689655
0001-9909,2021,CC BY,4,39,0.10256410256410256
0001-9909,2021,CC BY-NC-ND,2,39,0.05128205128205128
0001-9909,2022,CC BY,10,34,0.29411764705882354
0002-0184,2017,NA,0,40,0
0002-0184,2018,CC BY,1,52,0.019230769230769232
0002-0184,2018,CC BY-NC-ND,3,52,0.057692307692307696
0002-0184,2019,NA,0,16,0
0002-0184,2020,CC BY-NC-ND,1,28,0.03571428571428571
0002-0184,2021,CC BY-NC-ND,1,28,0.03571428571428571
0002-0184,2022,CC BY-NC-ND,2,12,0.16666666666666666
0002-0206,2017,NA,0,120,0
0002-0206,2018,NA,0,135,0
0002-0206,2019,CC BY-NC-ND,1,109,0.009174311926605505
0002-0206,2019,CC BY,2,109,0.01834862385321101
0002-0206,2019,CC BY-NC-SA,1,109,0.009174311926605505
0002-0206,2020,CC BY-NC-SA,1,128,0.0078125
0002-0206,2020,CC BY,2,128,0.015625
0002-0206,2021,CC BY,8,149,0.053691275167785234
0002-0206,2021,CC BY-NC-SA,3,149,0.020134228187919462
0002-0206,2021,CC BY-NC-ND,1,149,0.006711409395973154
0002-0206,2022,CC BY,10,139,0.07194244604316546
0002-0206,2022,CC BY-NC-ND,3,139,0.02158273381294964
0002-0206,2022,CC BY-NC-SA,2,139,0.014388489208633094
0002-0443,2017,NA,0,124,0
0002-0443,2018,NA,0,126,0
0002-0443,2019,NA,0,126,0
0002-0443,2020,NA,0,125,0
0002-0443,2021,NA,0,130,0
0002-0443,2022,NA,0,104,0
0002-0729,2017,CC BY-NC-ND,1,394,0.0025380710659898475
0002-0729,2017,CC BY-NC,5,394,0.012690355329949238
0002-0729,2017,CC BY,9,394,0.02284263959390863
0002-0729,2018,CC BY-NC,13,692,0.01878612716763006
0002-0729,2018,CC BY-NC-ND,2,692,0.002890173410404624
0002-0729,2018,CC BY,14,692,0.02023121387283237
0002-0729,2019,CC BY,7,186,0.03763440860215054
0002-0729,2019,CC BY-NC-ND,4,186,0.021505376344086023
0002-0729,2019,CC BY-NC,30,186,0.16129032258064516
0002-0729,2020,CC BY-NC,37,288,0.1284722222222222
0002-0729,2020,CC BY,16,288,0.05555555555555555
0002-0729,2020,CC BY-NC-ND,2,288,0.006944444444444444
0002-0729,2021,CC BY,25,238,0.10504201680672269
0002-0729,2021,CC BY-NC,45,238,0.18907563025210083
0002-0729,2021,CC BY-NC-ND,8,238,0.03361344537815126
0002-0729,2022,CC BY-NC-ND,12,238,0.05042016806722689
0002-0729,2022,CC BY,21,238,0.08823529411764706
0002-0729,2022,CC BY-NC,52,238,0.2184873949579832
0002-1466,2017,NA,0,42,0
0002-1466,2018,NA,0,31,0
0002-1466,2019,NA,0,56,0
0002-1466,2020,NA,0,47,0
0002-1466,2021,NA,0,54,0
0002-1466,2022,NA,0,23,0
0002-2667,2017,NA,0,7,0
0002-2667,2018,NA,0,3,0
0002-2667,2019,NA,0,2,0
0002-3752,2017,CC BY-NC-ND,3,306,0.00980392156862745
0002-3752,2018,NA,0,317,0
0002-3752,2019,NA,0,621,0
0002-3752,2020,NA,0,608,0
0002-3752,2021,NA,0,640,0
0002-3752,2022,NA,0,506,0
0002-3973,2019,NA,0,10,0
0002-3973,2020,NA,0,32,0
0002-3973,2022,NA,0,13,0
0002-5232,2017,NA,0,49,0
0002-5232,2018,NA,0,48,0
0002-5232,2019,NA,0,52,0
0002-5232,2020,NA,0,50,0
0002-5232,2021,NA,0,45,0
0002-5232,2022,NA,0,18,0
0002-5240,2017,CC BY,2,60,0.03333333333333333
0002-5240,2018,CC BY,7,93,0.07526881720430108
0002-5240,2019,CC BY,8,59,0.13559322033898305
0002-5240,2020,CC BY,12,57,0.21052631578947367
0002-5240,2021,CC BY,13,67,0.19402985074626866
0002-5240,2022,CC BY,3,32,0.09375
0002-6980,2017,CC BY-NC-ND,1,55,0.01818181818181818
0002-6980,2017,CC BY,1,55,0.01818181818181818
0002-6980,2018,NA,0,46,0
0002-6980,2019,CC BY,1,36,0.027777777777777776
0002-6980,2020,CC BY,1,36,0.027777777777777776
0002-6980,2020,CC BY-NC-ND,5,36,0.1388888888888889
0002-6980,2021,CC BY-NC-ND,1,41,0.024390243902439025
0002-6980,2022,CC BY-NC-ND,3,37,0.08108108108108109
0002-7162,2017,NA,0,95,0
0002-7162,2018,NA,0,92,0
0002-7162,2019,NA,0,70,0
0002-7162,2020,CC BY,4,83,0.04819277108433735
0002-7162,2020,CC BY-NC,5,83,0.060240963855421686
0002-7162,2021,CC BY-NC,4,87,0.04597701149425287
0002-7162,2021,CC BY,8,87,0.09195402298850575
0002-7162,2022,CC BY-NC,2,43,0.046511627906976744
0002-7162,2022,CC BY,2,43,0.046511627906976744
0002-7189,2017,NA,0,91,0
0002-7189,2018,NA,0,77,0
0002-7189,2019,NA,0,100,0
0002-7189,2020,NA,0,86,0
0002-7189,2021,CC BY-NC-ND,1,112,0.008928571428571428
0002-7189,2021,CC BY,5,112,0.044642857142857144
0002-7189,2022,NA,0,44,0
0002-7294,2017,CC BY-NC-ND,1,161,0.006211180124223602
0002-7294,2017,CC BY,1,161,0.006211180124223602
0002-7294,2018,CC BY,1,186,0.005376344086021506
0002-7294,2018,CC BY-NC,1,186,0.005376344086021506
0002-7294,2019,CC BY-NC,1,182,0.005494505494505495
0002-7294,2019,CC BY,2,182,0.01098901098901099
0002-7294,2019,CC BY-NC-ND,3,182,0.016483516483516484
0002-7294,2020,CC BY-NC,3,164,0.018292682926829267
0002-7294,2020,CC BY,3,164,0.018292682926829267
0002-7294,2020,CC BY-NC-ND,3,164,0.018292682926829267
0002-7294,2021,CC BY-NC,1,147,0.006802721088435374
0002-7294,2021,CC BY,4,147,0.027210884353741496
0002-7294,2021,CC BY-NC-ND,6,147,0.04081632653061224
0002-7294,2022,CC BY,6,97,0.061855670103092786
0002-7294,2022,CC BY-NC-ND,9,97,0.09278350515463918
0002-7294,2022,CC BY-NC,1,97,0.010309278350515464
0002-7316,2017,CC BY-NC-SA,1,97,0.010309278350515464
0002-7316,2017,CC BY,3,97,0.030927835051546393
0002-7316,2018,CC BY,1,94,0.010638297872340425
0002-7316,2019,CC BY,2,114,0.017543859649122806
0002-7316,2020,CC BY,9,109,0.08256880733944955
0002-7316,2021,CC BY,24,156,0.15384615384615385
0002-7316,2021,CC BY-NC-SA,2,156,0.01282051282051282
0002-7316,2021,CC BY-NC-ND,2,156,0.01282051282051282
0002-7316,2022,CC BY-NC-SA,2,89,0.02247191011235955
0002-7316,2022,CC BY,9,89,0.10112359550561797
0002-7316,2022,CC BY-NC-ND,1,89,0.011235955056179775
0002-7642,2017,NA,0,121,0
